檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N02山北_110學年度財務報告.pdf,7,109學年度,教保費收入,"10,266,444",109
N02山北_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(712,614)",109
N02山北_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"436,450",109
N02山北_110學年度財務報告.pdf,7,109學年度,利息收入,"18,888",109
N02山北_110學年度財務報告.pdf,7,109學年度,其他收入,"895,990",109
N02山北_110學年度財務報告.pdf,7,109學年度,收入合計,"10,905,158",109
N02山北_110學年度財務報告.pdf,7,109學年度,人事費,"7,131,318",109
N02山北_110學年度財務報告.pdf,7,109學年度,業務費,"363,294",109
N02山北_110學年度財務報告.pdf,7,109學年度,材料費,"905,342",109
N02山北_110學年度財務報告.pdf,7,109學年度,維護費,"54,041",109
N02山北_110學年度財務報告.pdf,7,109學年度,修繕購置費,"112,946",109
N02山北_110學年度財務報告.pdf,7,109學年度,公共事務管理費,"20,255",109
N02山北_110學年度財務報告.pdf,7,109學年度,雜支,"13,690",109
N02山北_110學年度財務報告.pdf,7,109學年度,行政管理費,"125,430",109
N02山北_110學年度財務報告.pdf,7,109學年度,業務發展費,"1,199,000",109
N02山北_110學年度財務報告.pdf,7,109學年度,延後托育支出,"302,349",109
N02山北_110學年度財務報告.pdf,7,109學年度,其他支出,"895,990",109
N02山北_110學年度財務報告.pdf,7,109學年度,支出合計,"11,123,655",109
N02山北_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"(218,497)",109
N02山北_110學年度財務報告.pdf,7,109學年度,所得稅費用,"12,592",109
N02山北_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$(231,089)",109
