檔案名稱,項目,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率
N04海工_111學年度財務報告.pdf,電費,"144,000","80,012","(63,988)",56,"144,000","70,664","(73,336)",49
N04海工_111學年度財務報告.pdf,瓦斯費,"30,000","34,870","4,870",116,"30,000","32,014","2,014",107
N04海工_111學年度財務報告.pdf,保全,"80,000",,"(80,000)",,"80,000",,"(80,000)",
N04海工_111學年度財務報告.pdf,辦公文具,"12,000","13,684","1,684",114,"12,000","13,298","1,298",111
N04海工_111學年度財務報告.pdf,事務機器耗材,"55,000","45,710","(9,290)",83,"55,000","40,827","(14,173)",74
N04海工_111學年度財務報告.pdf,電話費(含網路),"36,000","19,200","(16,800)",53,"36,000","23,356","(12,644)",65
N04海工_111學年度財務報告.pdf,郵資,"6,000","3,591","(2,409)",60,"6,000","2,165","(3,835)",36
N04海工_111學年度財務報告.pdf,文宣費(一般文宣),"10,000","11,500","1,500",115,"10,000","10,900",900,109
N04海工_111學年度財務報告.pdf,文宣費(圖刊),"25,000","25,000",-,100,"25,000","25,000",-,100
N04海工_111學年度財務報告.pdf,攝影照片,"8,000","9,303","1,303",116,"8,000","8,892",892,111
N04海工_111學年度財務報告.pdf,園務特支,"36,000","37,077","1,077",103,"36,000","35,979",(21),100
N04海工_111學年度財務報告.pdf,差旅費,"15,000",,"(15,000)",,"15,000",,"(15,000)",
N04海工_111學年度財務報告.pdf,材料費,"934,200","1,040,430","106,230",111,"934,200","956,833","22,633",102
N04海工_111學年度財務報告.pdf,教保材料費,"144,000","172,659","28,659",120,"144,000","164,709","20,709",114
N04海工_111學年度財務報告.pdf,日常消耗用品,"36,000","42,524","6,524",118,"36,000","42,538","6,538",118
N04海工_111學年度財務報告.pdf,藥品費,"4,200","4,122",(78),98,"4,200","4,853",653,116
N04海工_111學年度財務報告.pdf,餐點費,"750,000","821,125","71,125",109,"750,000","744,733","(5,267)",99
N04海工_111學年度財務報告.pdf,維護費,"93,000","85,436","(7,564)",92,"93,000","70,282","(22,718)",76
N04海工_111學年度財務報告.pdf,水電修繕,"60,000","56,800","(3,200)",95,"60,000","31,487","(28,513)",52
N04海工_111學年度財務報告.pdf,園舍消毒、清潔,"25,000","27,200","2,200",109,"25,000","37,200","12,200",149
N04海工_111學年度財務報告.pdf,火險,"8,000","1,436","(6,564)",18,"8,000","1,595","(6,405)",20
N04海工_111學年度財務報告.pdf,修繕購置費,"84,000","166,999","82,999",199,"84,000","195,741","111,741",233
N04海工_111學年度財務報告.pdf,雜支,"33,960","22,233","(11,727)",65,"33,960","10,488","(23,472)",31
N04海工_111學年度財務報告.pdf,行政管理費,"90,012","90,012",-,100,"90,012","90,012",-,100
N04海工_111學年度財務報告.pdf,業務發展費,,"480,000","480,000",,,"336,000","336,000",
N04海工_111學年度財務報告.pdf,延後托育支出,,"180,909","180,909",,,"209,704","209,704",
N04海工_111學年度財務報告.pdf,其他支出,,"1,219,083","1,219,083",,,"765,804","765,804",
N04海工_111學年度財務報告.pdf,本期稅前餘絀,"(55,051)","85,302","140,353",(155),"60,163","373,081","312,918",620
N04海工_111學年度財務報告.pdf,所得稅費用,,,,,,,,
N04海工_111學年度財務報告.pdf,本期稅後餘絀,"$(55,051)","$ 85,302","$ 140,353",(155),"$ 60,163","$ 373,081","$ 312,918",620
