檔案名稱,報告學年度,章節,內容
N04海工_111學年度財務報告.pdf,111學年度,關係人交易,"2. 其他應付款 關係人名稱：社團法人新北市幼兒成長協會，112年7月31日：$ 47,012，111年7月31日：$ 90,012"
N04海工_111學年度財務報告.pdf,111學年度,質抵押資產,無。
N04海工_111學年度財務報告.pdf,111學年度,重大承諾事項及或有事項,新北市政府與海工幼兒園母機構社團法人新北市幼兒成長協會，簽訂委託辦理「海工非營利幼兒園」契約書，委託年限自 109年8月1日至 113年7月31日，依據契約書第16條規定，受委託辦理之非營利幼兒園，連續3學年通過績效考評者，得於期間屆滿8個月前，提出後續4學年之經營計畫向新北市政府申請延長契約，申請期限最長不能超過4學年，並以延長1次為限。但未依政府採購法第 22條第1項第7款規定於原招標公告及招標文件敘明延長期間者，不在此限。
