檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N09安興_110學年度財務報告.pdf,110學年度,本年度,流動資產合計+非流動資產合計=資產總計,7824765,7824765,通過
N09安興_110學年度財務報告.pdf,110學年度,本年度,流動負債合計+非流動負債合計=負債總額,6375929,6375929,通過
N09安興_110學年度財務報告.pdf,110學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1448836,1448836,通過
N09安興_110學年度財務報告.pdf,110學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,7824765,7824765,通過
N09安興_110學年度財務報告.pdf,109學年度,前一年度,流動資產合計+非流動資產合計=資產總計,5771632,5771632,通過
N09安興_110學年度財務報告.pdf,109學年度,前一年度,流動負債合計+非流動負債合計=負債總額,4931579,4931579,通過
N09安興_110學年度財務報告.pdf,109學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,840053,840053,通過
N09安興_110學年度財務報告.pdf,109學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,5771632,5771632,通過
