檔案名稱,項目,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率,109學年度預算數,109學年度決算數,109學年度決算與預算差異,109學年度執行率
N09安興_110學年度財務報告.pdf,事務機器耗材,"55,000","14,354","(40,646)",26,,,,
N09安興_110學年度財務報告.pdf,電話費（含網路）,"36,000","36,883",883,102,,,,
N09安興_110學年度財務報告.pdf,郵資,"6,000","4,644","(1,356)",77,,,,
N09安興_110學年度財務報告.pdf,文宣費（一般文宣）,"10,000",,"(10,000)",,,,,
N09安興_110學年度財務報告.pdf,文宣費（園刊）,"25,000",,"(25,000)",,,,,
N09安興_110學年度財務報告.pdf,攝影照片,"8,000",,"(8,000)",,,,,
N09安興_110學年度財務報告.pdf,園務特支,"36,000","21,656","(14,344)",60,,,,
N09安興_110學年度財務報告.pdf,差旅費,"15,000",,"(15,000)",,,,,
N09安興_110學年度財務報告.pdf,材料費,"904,200","708,169","(196,031)",78,,,,
N09安興_110學年度財務報告.pdf,教保材料費,"144,000","18,478","(125,522)",13,,,,
N09安興_110學年度財務報告.pdf,日常消耗用品,"36,000","13,688","(22,312)",38,,,,
N09安興_110學年度財務報告.pdf,藥品費,"4,200","4,235",35,101,,,,
N09安興_110學年度財務報告.pdf,餐點費,"720,000","671,768","(48,232)",93,,,,
N09安興_110學年度財務報告.pdf,維護費,"93,000","111,992","18,992",120,,,,
N09安興_110學年度財務報告.pdf,水電修繕,"60,000","94,933","34,933",158,,,,
N09安興_110學年度財務報告.pdf,園舍消毒、清潔,"25,000","15,000","(10,000)",60,,,,
N09安興_110學年度財務報告.pdf,火險,"8,000","2,059","(5,941)",26,,,,
N09安興_110學年度財務報告.pdf,修繕購置費,"84,000","62,469","(21,531)",74,,,,
N09安興_110學年度財務報告.pdf,公共事務管理費,"120,000","72,360","(47,640)",60,,,,
N09安興_110學年度財務報告.pdf,雜支,"34,080",342,"(33,738)",1,,,,
N09安興_110學年度財務報告.pdf,行政管理費,"147,220","147,220",,100,,,,
N09安興_110學年度財務報告.pdf,業務發展費,,"820,000","820,000",,,,,
N09安興_110學年度財務報告.pdf,延後托育支出,,"454,065","454,065",,,,,
N09安興_110學年度財務報告.pdf,其他支出,,"1,392,098","1,392,098",,,,,
N09安興_110學年度財務報告.pdf,本期稅前餘絀,"137,371","643,169","505,798",468,,,,
N09安興_110學年度財務報告.pdf,所得稅費用,,"34,386","34,386",,,,,
N09安興_110學年度財務報告.pdf,本期稅後餘絀,"$ 137,371","$ 608,783","$ 471,412",443,,,,
