檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N09安興_110學年度財務報告.pdf,110學年度,收入,"7,186,320","8,902,973","1,716,653",124,
N09安興_110學年度財務報告.pdf,110學年度,教保費收入淨額,"7,186,320","6,932,177","(254,143)",96,
N09安興_110學年度財務報告.pdf,110學年度,教保費收入,"7,186,320","6,990,138","(196,182)",97,
N09安興_110學年度財務報告.pdf,110學年度,教保費收入 (家長繳費),"1,800,000","1,376,439","(423,561)",76,
N09安興_110學年度財務報告.pdf,110學年度,教保費收入 (政府學費差額補助),"5,386,320","5,613,699","227,379",104,
N09安興_110學年度財務報告.pdf,110學年度,教保費收入減項,-,"(57,961)","(57,961)",-,
N09安興_110學年度財務報告.pdf,110學年度,五日未上課退費,-,"(51,961)","(51,961)",-,
N09安興_110學年度財務報告.pdf,110學年度,轉學/轉出退費,-,"(6,000)","(6,000)",-,
N09安興_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"567,480","567,480",-,
N09安興_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"567,480","567,480",-,
N09安興_110學年度財務報告.pdf,110學年度,延後托育收入,-,"639,660","639,660",-,
N09安興_110學年度財務報告.pdf,110學年度,延後托育收入退費,-,"(72,180)","(72,180)",-,
N09安興_110學年度財務報告.pdf,110學年度,利息收入,-,"11,218","11,218",-,
N09安興_110學年度財務報告.pdf,110學年度,其他收入,-,"1,392,098","1,392,098",-,
N09安興_110學年度財務報告.pdf,110學年度,支出,"7,048,949","8,259,804","1,210,855",117,
N09安興_110學年度財務報告.pdf,110學年度,人事費,"5,098,449","4,234,041","(864,408)",83,
N09安興_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資 (含職務加給),"2,757,915","2,370,674","(387,241)",86,
N09安興_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,162,797","1,132,099","(30,698)",97,
N09安興_110學年度財務報告.pdf,110學年度,加班費,"389,184","43,250","(345,934)",11,
N09安興_110學年度財務報告.pdf,110學年度,勞、健保費,"464,651","406,457","(58,194)",87,
N09安興_110學年度財務報告.pdf,110學年度,保險費,"8,000","6,650","(1,350)",83,
N09安興_110學年度財務報告.pdf,110學年度,勞退金提撥,"209,100","179,045","(30,055)",86,
N09安興_110學年度財務報告.pdf,110學年度,自強活動,"8,000","18,480","10,480",231,
N09安興_110學年度財務報告.pdf,110學年度,健康檢查,"1,000",840,(160),84,
N09安興_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"68,760","47,504","(21,256)",69,
N09安興_110學年度財務報告.pdf,110學年度,資遣費,"29,042","29,042",-,100,
N09安興_110學年度財務報告.pdf,110學年度,業務費,"568,000","257,048","(310,952)",45,
N09安興_110學年度財務報告.pdf,110學年度,活動費,"75,000","44,386","(30,614)",59,
N09安興_110學年度財務報告.pdf,110學年度,研習、進修,"16,000","1,000","(15,000)",6,
N09安興_110學年度財務報告.pdf,110學年度,水費,"20,000","8,338","(11,662)",42,
N09安興_110學年度財務報告.pdf,110學年度,電費,"144,000","90,159","(53,841)",63,
N09安興_110學年度財務報告.pdf,110學年度,瓦斯費,"30,000","13,888","(16,112)",46,
N09安興_110學年度財務報告.pdf,110學年度,保全,"80,000","20,790","(59,210)",26,
N09安興_110學年度財務報告.pdf,110學年度,辦公文具,"12,000",950,"(11,050)",8,
