檔案名稱,項目,111學年度金額,110學年度金額
N03龍埔成長_111學年度財務報告.pdf,營業活動之現金流量：,,
N03龍埔成長_111學年度財務報告.pdf,本期稅前餘絀,"351,100","767,673"
N03龍埔成長_111學年度財務報告.pdf,調整項目：,,
N03龍埔成長_111學年度財務報告.pdf,資產/負債淨變動數,,
N03龍埔成長_111學年度財務報告.pdf,應收帳款淨額,"(9,215)","(63,151)"
N03龍埔成長_111學年度財務報告.pdf,其他應收款,"(72,652)",(531)
N03龍埔成長_111學年度財務報告.pdf,預付款項,"(50,081)","2,006"
N03龍埔成長_111學年度財務報告.pdf,其他流動資產,,"(2,550)"
N03龍埔成長_111學年度財務報告.pdf,應付票據,"320,284","(252,071)"
N03龍埔成長_111學年度財務報告.pdf,應付帳款,"64,623","287,547"
N03龍埔成長_111學年度財務報告.pdf,其他應付款,"(71,887)","153,652"
N03龍埔成長_111學年度財務報告.pdf,預收款項,"183,842","(31,933)"
N03龍埔成長_111學年度財務報告.pdf,其他流動負債,(278),(4)
N03龍埔成長_111學年度財務報告.pdf,營業活動之淨現金流入,"715,736","860,638"
N03龍埔成長_111學年度財務報告.pdf,投資活動之現金流量：,,
N03龍埔成長_111學年度財務報告.pdf,投資活動之淨現金流入,,
N03龍埔成長_111學年度財務報告.pdf,籌資活動之現金流量：,,
N03龍埔成長_111學年度財務報告.pdf,籌資活動之淨現金流入,,
N03龍埔成長_111學年度財務報告.pdf,本期現金及約當現金增加數,"715,736","860,638"
N03龍埔成長_111學年度財務報告.pdf,期初現金及約當現金餘額,"5,594,770","4,734,132"
N03龍埔成長_111學年度財務報告.pdf,期末現金及約當現金餘額,"6,310,506","5,594,770"
