檔案名稱,項目,113學年度金額,112學年度金額
N08鷺江_113學年度財務報告.pdf,營業活動之現金流量：本期稅前餘絀,"$(765,660)","$(81,275)"
N08鷺江_113學年度財務報告.pdf,調整項目：,,
N08鷺江_113學年度財務報告.pdf,資產/負債淨變動數,,
N08鷺江_113學年度財務報告.pdf,應收帳款淨額,"1,496","1,285"
N08鷺江_113學年度財務報告.pdf,其他應收款,"175,514","(59,933)"
N08鷺江_113學年度財務報告.pdf,預付款項,,"7,350"
N08鷺江_113學年度財務報告.pdf,應付帳款,"(1,042)","(104,531)"
N08鷺江_113學年度財務報告.pdf,其他應付款,"126,807","(239,804)"
N08鷺江_113學年度財務報告.pdf,預收款項,"(547,239)","156,878"
N08鷺江_113學年度財務報告.pdf,其他流動負債,"4,909","8,740"
N08鷺江_113學年度財務報告.pdf,資遣費準備淨變動,,"(24,453)"
N08鷺江_113學年度財務報告.pdf,營業活動之淨現金流（出）,"(1,005,215)","(335,743)"
N08鷺江_113學年度財務報告.pdf,投資活動之現金流量：投資活動之淨現金流入,,
N08鷺江_113學年度財務報告.pdf,籌資活動之現金流量：籌資活動之淨現金流入,,
N08鷺江_113學年度財務報告.pdf,本期現金及約當現金（減少）數,"(1,005,215)","(335,743)"
N08鷺江_113學年度財務報告.pdf,期初現金及約當現金餘額,"5,361,714","5,697,457"
N08鷺江_113學年度財務報告.pdf,期末現金及約當現金餘額,"$4,356,499","$5,361,714"
