檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N08鷺江_113學年度財務報告.pdf,113學年度,本年度,流動資產合計+非流動資產合計=資產總計,17541054,17541054,通過
N08鷺江_113學年度財務報告.pdf,112學年度,前一年度,流動資產合計+非流動資產合計=資產總計,16625634,16625634,通過
N08鷺江_113學年度財務報告.pdf,113學年度,本年度,流動負債合計+非流動負債合計=負債總額,16185012,16185012,通過
N08鷺江_113學年度財務報告.pdf,113學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1356042,1356042,通過
N08鷺江_113學年度財務報告.pdf,113學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,17541054,17541054,通過
N08鷺江_113學年度財務報告.pdf,112學年度,前一年度,流動負債合計+非流動負債合計=負債總額,14503932,14503932,通過
N08鷺江_113學年度財務報告.pdf,112學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,2121702,2121702,通過
N08鷺江_113學年度財務報告.pdf,112學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,16625634,16625634,通過
