檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N08鷺江_113學年度財務報告.pdf,6,113學年度,教保費收入,"11,529,155",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(102,267)",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"178,000",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,利息收入,"178,840",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,其他收入,"3,739,546",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,收入合計,"15,523,274",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,人事費,"7,810,400",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,業務費,"493,617",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,材料費,"1,386,265",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,維護費,"92,427",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,修繕購置費,"130,993",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,雜支,"2,222",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,行政管理費,"256,640",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,業務發展費,"2,245,150",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"131,674",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,其他支出,"3,739,546",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,支出合計,"16,288,934",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(765,660)",113
N08鷺江_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N08鷺江_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(765,660)",113
