檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入 教保費收入,"9,343,440",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入 教保費收入減項,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入 延後托育收入淨額,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入 利息收入,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入 其他收入,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,收入合計,"9,343,440",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 人事費,"7,006,576",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 業務費,"694,700",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 材料費,"1,183,320",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 維護費,"118,000",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 修繕購置費,"106,400",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 雜支,"41,682",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 行政管理費,"112,681",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 業務發展費,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 延後托育支出,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出 其他支出,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,支出合計,"9,263,359",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"80,081",110
N05漢翔_110學年度財務報告.pdf,6,110學年度,所得稅費用,,110
N05漢翔_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"80,081",110
