檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N05漢翔_110學年度財務報告.pdf,110學年度,人事費,"$ 7,006,576","$ 5,862,148","$(1,144,428)",(16),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,人事費,"6,431,375","5,724,202","(707,173)",(11),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,加班費,"535,260","98,005","(437,255)",(82),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,資遣費,"39,941","39,941",-,,
N05漢翔_110學年度財務報告.pdf,110學年度,業務費,"694,700","373,048","(321,652)",(46),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,活動費,"95,000","66,776","(28,224)",(30),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,研習、進修,"22,000","7,900","(14,100)",(64),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,水費,"26,000","8,620","(17,380)",(67),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,電費,"204,000","114,382","(89,618)",(44),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,瓦斯費,"32,000","10,843","(21,157)",(66),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,保全,"80,000","14,559","(65,441)",(82),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,辦公文具,"18,000","7,856","(10,144)",(56),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,事務機器耗材,"60,000","40,542","(19,458)",(32),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,電話費（含網路）,"45,000","35,287","(9,713)",(22),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,郵資,"7,200","8,499","1,299",18,細項 20%內勻支後，已符合勻支規定
N05漢翔_110學年度財務報告.pdf,110學年度,文宣費（一般文宣）,"10,000","1,000","(9,000)",(90),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,文宣費（園刊）,"27,500","15,000","(12,500)",(45),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,攝影照片,"9,000","7,970","(1,030)",(11),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,園務特支,"39,000","33,814","(5,186)",(13),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,差旅費,"20,000",-,"(20,000)",,
N05漢翔_110學年度財務報告.pdf,110學年度,材料費,"1,183,320","907,619","(275,701)",(23),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,教保材料費,"182,400","83,448","(98,952)",(54),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,日常消耗用品,"45,600","28,659","(16,941)",(37),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,藥品費,"5,320","1,455","(3,865)",(73),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,餐點費,"950,000","794,057","(155,943)",(16),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,維護費,"118,000","82,394","(35,606)",(30),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,修繕購置費,"106,400","111,654","5,254",5,經與維護費勻支後，已符合勻支規定
N05漢翔_110學年度財務報告.pdf,110學年度,雜支,"41,682","34,973","(6,709)",(16),未超支
N05漢翔_110學年度財務報告.pdf,110學年度,行政管理費,"112,681","112,681",-,-,未超支
N05漢翔_110學年度財務報告.pdf,110學年度,合計,"$ 9,263,359","$ 7,484,517","$(1,778,842)",(19),
