檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N05漢翔_110學年度財務報告.pdf,代管財產,6010109,000005,文書用具-護貝機,"$ 5,000",1,,5,106/6/15
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000002,放置用具-物品架,"5,000",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000003,放置用具-物品架,"5,000",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000004,放置用具-物品架,"5,000",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000005,放置用具-物品架,"5,000",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000006,放置用具-物品架,"6,382",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6010711,000007,放置用具-物品架,"6,382",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6010720,000001,放置用具-衣帽架,"4,558",1,,4,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000001,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000002,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000003,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000004,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000005,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000006,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000007,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000008,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000009,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000010,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000011,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000012,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000013,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000014,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011003,000015,遮蔽用具-窗簾,"3,332",1,,3,106/6/3
N05漢翔_110學年度財務報告.pdf,代管財產,6011007,000001,遮蔽用具-拉門,"9,000",1,,3,106/2/14
N05漢翔_110學年度財務報告.pdf,代管財產,6011007,000002,遮蔽用具-拉門,"9,000",1,,3,106/2/14
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000635,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000636,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000637,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000638,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000639,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000640,電器用具-電風扇,"3,008",1,,3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000641,電器用具-電風扇,"3,008",1,"3,008",3,106/2/13
N05漢翔_110學年度財務報告.pdf,代管財產,6011206,000642,電器用具-電風扇,"3,008",1,"3,008",3,106/2/13
