檔案名稱,項目,110學年度金額,109學年度金額
N05漢翔_110學年度財務報告.pdf,營業活動之現金流量：,,
N05漢翔_110學年度財務報告.pdf,本期稅前餘額,"832,041","(339,170)"
N05漢翔_110學年度財務報告.pdf,調整項目：,,
N05漢翔_110學年度財務報告.pdf,資產／負債淨變動數,,
N05漢翔_110學年度財務報告.pdf,應收帳款淨額,(405),"2,082"
N05漢翔_110學年度財務報告.pdf,其他應收款,"(253,019)",98
N05漢翔_110學年度財務報告.pdf,預付款項,"4,910","(3,050)"
N05漢翔_110學年度財務報告.pdf,應付票據,,"(132,034)"
N05漢翔_110學年度財務報告.pdf,應付帳款,"(26,043)","(112,541)"
N05漢翔_110學年度財務報告.pdf,其他應付款,"(113,638)","160,769"
N05漢翔_110學年度財務報告.pdf,預收款項,"(182,584)","968,832"
N05漢翔_110學年度財務報告.pdf,營運產生之現金,"261,262","544,986"
N05漢翔_110學年度財務報告.pdf,本期支付所得稅,"(40,034)","(13,008)"
N05漢翔_110學年度財務報告.pdf,營業活動之淨現金流入,"221,228","531,978"
N05漢翔_110學年度財務報告.pdf,投資活動之現金流量：,,
N05漢翔_110學年度財務報告.pdf,投資活動之淨現金流入,,
N05漢翔_110學年度財務報告.pdf,籌資活動之現金流量：,,
N05漢翔_110學年度財務報告.pdf,籌資活動之淨現金流入,,
N05漢翔_110學年度財務報告.pdf,本期現金及約當現金增加數,"221,228","531,978"
N05漢翔_110學年度財務報告.pdf,期初現金及約當現金餘額,"4,005,885","3,473,907"
N05漢翔_110學年度財務報告.pdf,期末現金及約當現金餘額,"4,227,113","4,005,885"
