檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N06昌平_112學年度財務報告.pdf,112學年度,人事費,"$ 8,975,553","$ 6,839,375","$(2,136,178)",(24),未超支
N06昌平_112學年度財務報告.pdf,112學年度,人事費,"8,241,616","6,606,757","(1,634,859)",(20),未超支
N06昌平_112學年度財務報告.pdf,112學年度,加班費,"682,968","181,649","(501,319)",(73),未超支
N06昌平_112學年度財務報告.pdf,112學年度,資遣費,"50,969","50,969",-,,
N06昌平_112學年度財務報告.pdf,112學年度,業務費,"819,400","514,283","(305,117)",(37),未超支
N06昌平_112學年度財務報告.pdf,112學年度,活動費,"115,000","68,241","(46,759)",(41),未超支
N06昌平_112學年度財務報告.pdf,112學年度,研習、進修,"26,000","7,550","(18,450)",(71),未超支
N06昌平_112學年度財務報告.pdf,112學年度,水費,"32,000","7,400","(24,600)",(77),未超支
N06昌平_112學年度財務報告.pdf,112學年度,電費,"264,000","225,174","(38,826)",(15),未超支
N06昌平_112學年度財務報告.pdf,112學年度,瓦斯費,"34,000","21,900","(12,100)",(36),未超支
N06昌平_112學年度財務報告.pdf,112學年度,保全,"80,000","43,050","(36,950)",(46),未超支
N06昌平_112學年度財務報告.pdf,112學年度,辦公文具,"24,000","13,180","(10,820)",(45),未超支
N06昌平_112學年度財務報告.pdf,112學年度,事務機器耗材,"65,000","43,521","(21,479)",(33),未超支
N06昌平_112學年度財務報告.pdf,112學年度,電話費(含 ADSL),"54,000","44,649","(9,351)",(17),未超支
N06昌平_112學年度財務報告.pdf,112學年度,郵資,"8,400","1,228","(7,172)",(85),未超支
N06昌平_112學年度財務報告.pdf,112學年度,文宣費(一般文宣),"10,000","4,389","(5,611)",(56),未超支
N06昌平_112學年度財務報告.pdf,112學年度,文宣費(園刊),"30,000","4,543","(25,457)",(85),未超支
N06昌平_112學年度財務報告.pdf,112學年度,攝影照片,"10,000",-,"(10,000)",,
N06昌平_112學年度財務報告.pdf,112學年度,園務特支,"42,000","29,458","(12,542)",(30),未超支
N06昌平_112學年度財務報告.pdf,112學年度,差旅費,"25,000",-,"(25,000)",,
N06昌平_112學年度財務報告.pdf,112學年度,材料費,"1,808,400","1,602,786","(205,614)",(11),未超支
N06昌平_112學年度財務報告.pdf,112學年度,教保材料費,"288,000","194,969","(93,031)",(32),未超支
N06昌平_112學年度財務報告.pdf,112學年度,日常消耗用品,"72,000","56,524","(15,476)",(21),未超支
N06昌平_112學年度財務報告.pdf,112學年度,藥品費,"8,400","1,577","(6,823)",(81),未超支
N06昌平_112學年度財務報告.pdf,112學年度,餐點費,"1,440,000","1,349,716","(90,284)",(6),未超支
N06昌平_112學年度財務報告.pdf,112學年度,維護費,"143,000","104,233","(38,767)",(27),未超支
N06昌平_112學年度財務報告.pdf,112學年度,修繕購置費,"168,000","116,753","(51,247)",(31),未超支
N06昌平_112學年度財務報告.pdf,112學年度,雜支,"49,164","19,288","(29,876)",(61),未超支
N06昌平_112學年度財務報告.pdf,112學年度,行政管理費,"262,780","262,780",-,-,未超支
N06昌平_112學年度財務報告.pdf,112學年度,合 計,"$ 12,226,297","$ 9,459,498","$(2,766,799)",(23),
