檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N06昌平_112學年度財務報告.pdf,收入,"12,130,560","15,138,118","3,007,558",125,"12,130,560","13,965,976","1,835,416",115
N06昌平_112學年度財務報告.pdf,教保費收入淨額,"12,130,560","11,605,165","(525,395)",96,"12,130,560","11,644,841","(485,719)",96
N06昌平_112學年度財務報告.pdf,教保費收入,"12,130,560","11,753,640","(376,920)",97,"12,130,560","11,744,640","(385,920)",97
N06昌平_112學年度財務報告.pdf,教保費收入(家長繳費),"2,880,000","1,749,000","(1,131,000)",61,"2,880,000","1,806,000","(1,074,000)",63
N06昌平_112學年度財務報告.pdf,教保費收入(政府學費差額補助),"9,250,560","10,004,640","754,080",108,"9,250,560","9,938,640","688,080",107
N06昌平_112學年度財務報告.pdf,教保費收入減項,,"(148,475)","(148,475)",,,"(99,799)","(99,799)",
N06昌平_112學年度財務報告.pdf,五日未上課退費,,"(66,786)","(66,786)",,,"(99,799)","(99,799)",
N06昌平_112學年度財務報告.pdf,腸病毒退費,,"(40,065)","(40,065)",,,,,
N06昌平_112學年度財務報告.pdf,轉學/轉出退費,,"(2,000)","(2,000)",,,,,
N06昌平_112學年度財務報告.pdf,政府學費差額補助退費,,"(39,624)","(39,624)",,,,,
N06昌平_112學年度財務報告.pdf,延長照顧服務收入淨額,,"275,006","275,006",,,"281,880","281,880",
N06昌平_112學年度財務報告.pdf,延長照顧服務收入淨額,,"275,006","275,006",,,"281,880","281,880",
N06昌平_112學年度財務報告.pdf,延長照顧服務收入,,"275,006","275,006",,,"281,880","281,880",
N06昌平_112學年度財務報告.pdf,利息收入,,"71,787","71,787",,,"38,872","38,872",
N06昌平_112學年度財務報告.pdf,其他收入,,"3,186,160","3,186,160",,,"2,000,383","2,000,383",
N06昌平_112學年度財務報告.pdf,支出,"12,226,297","14,950,976","2,724,679",122,"12,033,830","14,033,020","1,999,190",117
N06昌平_112學年度財務報告.pdf,人事費,"8,975,553","6,839,375","(2,136,178)",76,"8,783,086","7,770,536","(1,012,550)",88
N06昌平_112學年度財務報告.pdf,園長及教保服務人員薪資(含職務加給),"5,643,405","4,501,398","(1,142,007)",80,"5,504,355","5,089,969","(414,386)",92
N06昌平_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,237,519","1,011,121","(226,398)",82,"1,216,661","1,153,730","(62,931)",95
N06昌平_112學年度財務報告.pdf,加班費,"682,968","181,649","(501,319)",27,"667,056","272,630","(394,426)",41
N06昌平_112學年度財務報告.pdf,勞、健保費,"815,448","636,889","(178,559)",78,"796,505","738,402","(58,103)",93
N06昌平_112學年度財務報告.pdf,保險費,"13,000","12,911",(89),99,"13,000","11,979","(1,021)",92
N06昌平_112學年度財務報告.pdf,勞退金提撥,"366,972","317,196","(49,776)",86,"358,452","362,434","3,982",101
N06昌平_112學年度財務報告.pdf,自強活動,"13,000","13,000",,100,"13,000","13,000",,100
N06昌平_112學年度財務報告.pdf,健康檢查,"1,000","4,600","3,600",460,"13,000","3,680","(9,320)",28
N06昌平_112學年度財務報告.pdf,代課費及代班費,"151,272","109,642","(41,630)",72,"151,272","74,927","(76,345)",50
N06昌平_112學年度財務報告.pdf,資遣費,"50,969","50,969",,100,"49,785","49,785",,100
N06昌平_112學年度財務報告.pdf,業務費,"819,400","514,283","(305,117)",63,"819,400","559,276","(260,124)",68
N06昌平_112學年度財務報告.pdf,活動費,"115,000","68,241","(46,759)",59,"115,000","55,086","(59,914)",48
N06昌平_112學年度財務報告.pdf,研習、進修,"26,000","7,550","(18,450)",29,"26,000","3,600","(22,400)",14
N06昌平_112學年度財務報告.pdf,水費,"32,000","7,400","(24,600)",23,"32,000","24,404","(7,596)",76
N06昌平_112學年度財務報告.pdf,電費,"264,000","225,174","(38,826)",85,"264,000","229,217","(34,783)",87
N06昌平_112學年度財務報告.pdf,瓦斯費,"34,000","21,900","(12,100)",64,"34,000","21,050","(12,950)",62
N06昌平_112學年度財務報告.pdf,保全,"80,000","43,050","(36,950)",54,"80,000","40,320","(39,680)",50
N06昌平_112學年度財務報告.pdf,辦公文具,"24,000","13,180","(10,820)",55,"24,000","26,617","2,617",111
N06昌平_112學年度財務報告.pdf,事務機器耗材,"65,000","43,521","(21,479)",67,"65,000","63,505","(1,495)",98
N06昌平_112學年度財務報告.pdf,電話費(含網路),"54,000","44,649","(9,351)",83,"54,000","40,511","(13,489)",75
N06昌平_112學年度財務報告.pdf,郵資,"8,400","1,228","(7,172)",15,"8,400","2,873","(5,527)",34
N06昌平_112學年度財務報告.pdf,文宣費(一般文宣),"10,000","4,389","(5,611)",44,"10,000",352,"(9,648)",4
N06昌平_112學年度財務報告.pdf,文宣費(園刊),"30,000","4,543","(25,457)",15,"30,000","15,768","(14,232)",53
N06昌平_112學年度財務報告.pdf,攝影照片,"10,000",,"(10,000)",,"10,000",290,"(9,710)",3
N06昌平_112學年度財務報告.pdf,園務特支,"42,000","29,458","(12,542)",70,"42,000","35,683","(6,317)",85
N06昌平_112學年度財務報告.pdf,差旅費,"25,000",,"(25,000)",,"25,000",,"(25,000)",
N06昌平_112學年度財務報告.pdf,材料費,"1,808,400","1,602,786","(205,614)",89,"1,808,400","1,575,211","(233,189)",87
N06昌平_112學年度財務報告.pdf,教保材料費,"288,000","194,969","(93,031)",68,"288,000","161,813","(126,187)",56
N06昌平_112學年度財務報告.pdf,日常消耗用品,"72,000","56,524","(15,476)",79,"72,000","63,689","(8,311)",88
