檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N06昌平_112學年度財務報告.pdf,6,112學年度,教保費收入,"$ 11,753,640",112
N06昌平_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(148,475)",112
N06昌平_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"275,006",112
N06昌平_112學年度財務報告.pdf,6,112學年度,利息收入,"71,787",112
N06昌平_112學年度財務報告.pdf,6,112學年度,其他收入,"3,186,160",112
N06昌平_112學年度財務報告.pdf,6,112學年度,收入合計,"15,138,118",112
N06昌平_112學年度財務報告.pdf,6,112學年度,人事費,"6,839,375",112
N06昌平_112學年度財務報告.pdf,6,112學年度,業務費,"514,283",112
N06昌平_112學年度財務報告.pdf,6,112學年度,材料費,"1,602,786",112
N06昌平_112學年度財務報告.pdf,6,112學年度,維護費,"104,233",112
N06昌平_112學年度財務報告.pdf,6,112學年度,修繕購置費,"116,753",112
N06昌平_112學年度財務報告.pdf,6,112學年度,雜支,"19,288",112
N06昌平_112學年度財務報告.pdf,6,112學年度,行政管理費,"262,780",112
N06昌平_112學年度財務報告.pdf,6,112學年度,業務發展費,"2,039,112",112
N06昌平_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"266,206",112
N06昌平_112學年度財務報告.pdf,6,112學年度,其他支出,"3,186,160",112
N06昌平_112學年度財務報告.pdf,6,112學年度,支出合計,"14,950,976",112
N06昌平_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"187,142",112
N06昌平_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N06昌平_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"$ 187,142",112
