檔案名稱,項目,112學年度金額,111學年度金額
N06昌平_112學年度財務報告.pdf,營業活動之現金流量：,,
N06昌平_112學年度財務報告.pdf,本期稅前餘絀,"$ 187,142","$(67,044)"
N06昌平_112學年度財務報告.pdf,調整項目：,,
N06昌平_112學年度財務報告.pdf,資產／負債淨變動數,,
N06昌平_112學年度財務報告.pdf,應收帳款淨額,630,"3,522"
N06昌平_112學年度財務報告.pdf,其他應收款,"(69,522)","162,572"
N06昌平_112學年度財務報告.pdf,預付款項,"(35,350)","17,710"
N06昌平_112學年度財務報告.pdf,其他流動資產,-,444
N06昌平_112學年度財務報告.pdf,應付帳款,"112,579","(6,780)"
N06昌平_112學年度財務報告.pdf,其他應付款,"(322,873)","312,075"
N06昌平_112學年度財務報告.pdf,預收款項,"296,546","(86,716)"
N06昌平_112學年度財務報告.pdf,其他流動負債,(4),(106)
N06昌平_112學年度財務報告.pdf,營業活動之淨現金流入,"169,148","335,677"
N06昌平_112學年度財務報告.pdf,投資活動之現金流量：,,
N06昌平_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N06昌平_112學年度財務報告.pdf,籌資活動之現金流量：,,
N06昌平_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N06昌平_112學年度財務報告.pdf,本期現金及約當現金增加數,"169,148","335,677"
N06昌平_112學年度財務報告.pdf,期初現金及約當現金餘額,"5,654,815","5,319,138"
N06昌平_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,823,963","$ 5,654,815"
