檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,教保費收入,"$ 10,123,372",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(645,919)",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"247,320",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,利息收入,"5,526",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,其他收入,"768,008",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,收入合計,"10,498,307",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,人事費,"7,162,121",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,業務費,"409,373",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,材料費,"1,210,642",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,維護費,"80,008",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,修繕購置費,"125,380",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,雜支,"32,316",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,行政管理費,"117,840",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,業務發展費,"138,501",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,延後托育支出,"184,928",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,其他支出,"768,008",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,支出合計,"10,229,117",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"269,190",109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,所得稅費用,-,109
N03龍埔成長_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$ 269,190",109
