檔案名稱,項目,112學年度金額,111學年度金額
N05漢翔_112學年度財務報告.pdf,營業活動之現金流量：,,
N05漢翔_112學年度財務報告.pdf,本期稅前餘額,"$ 268,076","$ 106,651"
N05漢翔_112學年度財務報告.pdf,調整項目：,,
N05漢翔_112學年度財務報告.pdf,資產/負債淨變動數,,
N05漢翔_112學年度財務報告.pdf,應收帳款淨額,(742),675
N05漢翔_112學年度財務報告.pdf,其他應收款,"389,485","(35,803)"
N05漢翔_112學年度財務報告.pdf,預付款項,"27,140","(19,857)"
N05漢翔_112學年度財務報告.pdf,其他流動資產,635,(635)
N05漢翔_112學年度財務報告.pdf,應付帳款,"89,602","4,661"
N05漢翔_112學年度財務報告.pdf,其他應付款,"(362,751)","357,419"
N05漢翔_112學年度財務報告.pdf,預收款項,"106,415","78,224"
N05漢翔_112學年度財務報告.pdf,營業活動之淨現金流入,"517,860","491,335"
N05漢翔_112學年度財務報告.pdf,投資活動之現金流量：,,
N05漢翔_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N05漢翔_112學年度財務報告.pdf,籌資活動之現金流量：,,
N05漢翔_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N05漢翔_112學年度財務報告.pdf,本期現金及約當現金增加數,"517,860","491,335"
N05漢翔_112學年度財務報告.pdf,期初現金及約當現金餘額,"4,718,448","4,227,113"
N05漢翔_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,236,308","$ 4,718,448"
