檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N09安興_113學年度財務報告.pdf,6,113學年度,教保費收入,"$ 6,342,600",113
N09安興_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(88,005)",113
N09安興_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"214,470",113
N09安興_113學年度財務報告.pdf,6,113學年度,利息收入,"120,327",113
N09安興_113學年度財務報告.pdf,6,113學年度,其他收入,"1,983,942",113
N09安興_113學年度財務報告.pdf,6,113學年度,其他收入-其它,"6,724,000",113
N09安興_113學年度財務報告.pdf,6,113學年度,收入合計,"15,297,334",113
N09安興_113學年度財務報告.pdf,6,113學年度,人事費,"4,817,555",113
N09安興_113學年度財務報告.pdf,6,113學年度,業務費,"345,000",113
N09安興_113學年度財務報告.pdf,6,113學年度,材料費,"850,077",113
N09安興_113學年度財務報告.pdf,6,113學年度,維護費,"116,894",113
N09安興_113學年度財務報告.pdf,6,113學年度,修繕購置費,"98,986",113
N09安興_113學年度財務報告.pdf,6,113學年度,公共事務管理費,"72,360",113
N09安興_113學年度財務報告.pdf,6,113學年度,雜支,"28,993",113
N09安興_113學年度財務報告.pdf,6,113學年度,行政管理費,"150,144",113
N09安興_113學年度財務報告.pdf,6,113學年度,業務發展費,"1,419,000",113
N09安興_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"214,470",113
N09安興_113學年度財務報告.pdf,6,113學年度,其他支出,"1,983,942",113
N09安興_113學年度財務報告.pdf,6,113學年度,呆帳損失,"7,617",113
N09安興_113學年度財務報告.pdf,6,113學年度,支出合計,"10,105,038",113
N09安興_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"5,192,296",113
N09安興_113學年度財務報告.pdf,6,113學年度,所得稅費用,"1,278,682",113
N09安興_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$ 3,913,614",113
