檔案名稱,報告學年度,章節,內容
N09安興_113學年度財務報告.pdf,113學年度,關係人交易,"(一) 關係人之名稱及關係
關係人名稱：社團法人臺灣兒童教育發展協會，與本幼兒園之關係：本幼兒園之受託法人
(二) 與關係人之重大交易事項
1. 行政管理費
關係人名稱：社團法人臺灣兒童教育發展協會，113.8.1~114.7.31：$ 150,144，112.8.1~113.7.31：$ 147,220
2. 其他應付款
關係人名稱：社團法人臺灣兒童教育發展協會，114年7月31日：$ 150,144，113年7月31日：$ 147,220"
N09安興_113學年度財務報告.pdf,113學年度,質抵押資產,無。
N09安興_113學年度財務報告.pdf,113學年度,重大承諾事項及或有事項,新北市政府於 113 學年度屆期後，不同意受託機構-社團法人臺灣兒童教育發展協會繼續辦理本幼兒園，未與該法人續約。經甄選新非營利法人-財團法人仁德醫護管理專科學校，已與其簽訂新北市安興非營利幼兒園契約書，委託期程自 114 年 8 月 1 日至 118 年 7 月 31 日。
