檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N10大觀_112學年度財務報告.pdf,6,112學年度,教保費收入,"12,476,283",112
N10大觀_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(114,552)",112
N10大觀_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"334,160",112
N10大觀_112學年度財務報告.pdf,6,112學年度,利息收入,"84,148",112
N10大觀_112學年度財務報告.pdf,6,112學年度,其他收入,"3,996,023",112
N10大觀_112學年度財務報告.pdf,6,112學年度,收入合計,"16,776,062",112
N10大觀_112學年度財務報告.pdf,6,112學年度,人事費,"8,924,216",112
N10大觀_112學年度財務報告.pdf,6,112學年度,業務費,"628,248",112
N10大觀_112學年度財務報告.pdf,6,112學年度,材料費,"1,539,261",112
N10大觀_112學年度財務報告.pdf,6,112學年度,維護費,"38,812",112
N10大觀_112學年度財務報告.pdf,6,112學年度,修繕購置費,"136,372",112
N10大觀_112學年度財務報告.pdf,6,112學年度,雜支,"1,982",112
N10大觀_112學年度財務報告.pdf,6,112學年度,行政管理費,"239,682",112
N10大觀_112學年度財務報告.pdf,6,112學年度,業務發展費,"176,650",112
N10大觀_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"334,160",112
N10大觀_112學年度財務報告.pdf,6,112學年度,其他支出,"3,996,023",112
N10大觀_112學年度財務報告.pdf,6,112學年度,支出合計,"16,015,406",112
N10大觀_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"760,656",112
N10大觀_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N10大觀_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"760,656",112
