檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N10大觀_112學年度財務報告.pdf,112學年度,人事費,"$ 9,880,024","$ 8,924,216","$(955,808)",(10),未超支
N10大觀_112學年度財務報告.pdf,112學年度,人事費,"9,078,026","8,537,196","(540,830)",(6),未超支
N10大觀_112學年度財務報告.pdf,112學年度,加班費,"746,304","331,326","(414,978)",(56),未超支
N10大觀_112學年度財務報告.pdf,112學年度,資遣費,"55,694","55,694",-,,
N10大觀_112學年度財務報告.pdf,112學年度,業務費,"799,400","628,248","(171,152)",(21),未超支
N10大觀_112學年度財務報告.pdf,112學年度,活動費,"115,000","115,741",741,1,細項 20%內勻支後，已符合勻支規定
N10大觀_112學年度財務報告.pdf,112學年度,研習、進修,"26,000","26,000",-,-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,水費,"32,000","12,403","(19,597)",(61),未超支
N10大觀_112學年度財務報告.pdf,112學年度,電費,"264,000","174,864","(89,136)",(34),未超支
N10大觀_112學年度財務報告.pdf,112學年度,瓦斯費,"34,000","14,835","(19,165)",(56),未超支
N10大觀_112學年度財務報告.pdf,112學年度,保全,"60,000","59,955",(45),-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,辦公文具,"24,000","24,013",13,-,細項 20%內勻支後，已符合勻支規定
N10大觀_112學年度財務報告.pdf,112學年度,事務機器耗材,"65,000","64,906",(94),-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,電話費(含 ADSL),"54,000","44,363","(9,637)",(18),未超支
N10大觀_112學年度財務報告.pdf,112學年度,郵資,"8,400","3,346","(5,054)",(60),未超支
N10大觀_112學年度財務報告.pdf,112學年度,文宣費(一般文宣),"10,000","10,000",-,-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,文宣費(園刊),"30,000","30,000",-,-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,攝影照片,"10,000","10,000",-,-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,園務特支,"42,000","37,502","(4,498)",(11),未超支
N10大觀_112學年度財務報告.pdf,112學年度,差旅費,"25,000",320,"(24,680)",(99),未超支
N10大觀_112學年度財務報告.pdf,112學年度,材料費,"1,597,420","1,539,261","(58,159)",(4),未超支
N10大觀_112學年度財務報告.pdf,112學年度,教保材料費,"254,400","138,595","(115,805)",(46),未超支
N10大觀_112學年度財務報告.pdf,112學年度,日常消耗用品,"63,600","47,060","(16,540)",(26),未超支
N10大觀_112學年度財務報告.pdf,112學年度,藥品費,"7,420","6,770",(650),(9),未超支
N10大觀_112學年度財務報告.pdf,112學年度,餐點費,"1,272,000","1,346,836","74,836",6,應優先於材料費總預算內相互勻支後，已符合勻支規定
N10大觀_112學年度財務報告.pdf,112學年度,維護費,"143,000","38,812","(104,188)",(73),未超支
N10大觀_112學年度財務報告.pdf,112學年度,修繕購置費,"148,400","136,372","(12,028)",(8),未超支
N10大觀_112學年度財務報告.pdf,112學年度,雜支,"47,964","1,982","(45,982)",(96),未超支
N10大觀_112學年度財務報告.pdf,112學年度,行政管理費,"239,682","239,682",-,-,未超支
N10大觀_112學年度財務報告.pdf,112學年度,合計,"$ 12,855,890","$ 11,508,573","$(1,347,317)",(10),
