檔案名稱,項目,112學年度金額,111學年度金額
N10大觀_112學年度財務報告.pdf,營業活動之現金流量：,,
N10大觀_112學年度財務報告.pdf,本期稅前餘絀,"760,656","193,966"
N10大觀_112學年度財務報告.pdf,調整項目：,,
N10大觀_112學年度財務報告.pdf,資產／負債淨變動數,,
N10大觀_112學年度財務報告.pdf,應收帳款淨額,"(8,000)","69,229"
N10大觀_112學年度財務報告.pdf,其他應收款,"(33,505)","(245,360)"
N10大觀_112學年度財務報告.pdf,預付款項,"(41,298)",
N10大觀_112學年度財務報告.pdf,應付帳款,"(10,674)","9,350"
N10大觀_112學年度財務報告.pdf,其他應付款,"(25,720)","253,354"
N10大觀_112學年度財務報告.pdf,預收款項,"187,730","360,879"
N10大觀_112學年度財務報告.pdf,其他流動負債,"97,130",867
N10大觀_112學年度財務報告.pdf,資遣費準備淨變動,"55,694",
N10大觀_112學年度財務報告.pdf,業務發展準備淨變動,"176,650",
N10大觀_112學年度財務報告.pdf,營業活動之淨現金流入,"1,158,663","642,285"
N10大觀_112學年度財務報告.pdf,投資活動之現金流量：,,
N10大觀_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N10大觀_112學年度財務報告.pdf,籌資活動之現金流量：,,
N10大觀_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N10大觀_112學年度財務報告.pdf,本期現金及約當現金增加數,"1,158,663","642,285"
N10大觀_112學年度財務報告.pdf,期初現金及約當現金餘額,"5,877,595","5,235,310"
N10大觀_112學年度財務報告.pdf,期末現金及約當現金餘額,"7,036,258","5,877,595"
