檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N04海工_112學年度財務報告.pdf,收入,"6,409,440","9,031,229","2,621,789",141,"6,409,440","7,765,295","1,355,855",121
N04海工_112學年度財務報告.pdf,教保費收入淨額,"6,409,440","6,164,347","(245,093)",96,"6,409,440","6,180,485","(228,955)",96
N04海工_112學年度財務報告.pdf,教保費收入,"6,409,440","6,202,211","(207,229)",97,"6,409,440","6,214,320","(195,120)",97
N04海工_112學年度財務報告.pdf,教保費收入（家長繳費）,"1,440,000","990,521","(449,479)",69,"1,440,000","990,000","(450,000)",69
N04海工_112學年度財務報告.pdf,教保費收入（政府學費差額補助）,"4,969,440","5,211,690","242,250",105,"4,969,440","5,224,320","254,880",105
N04海工_112學年度財務報告.pdf,教保費收入減項,,"(37,864)","(37,864)",,,"(33,835)","(33,835)",
N04海工_112學年度財務報告.pdf,五日未上課退費,,"(28,917)","(28,917)",,,"(33,835)","(33,835)",
N04海工_112學年度財務報告.pdf,轉學/轉出退費,,,,,,,,
N04海工_112學年度財務報告.pdf,政府學費差額補助退費,,"(8,947)","(8,947)",,,,,
N04海工_112學年度財務報告.pdf,延長照顧服務收入淨額,,"218,400","218,400",,,"332,867","332,867",
N04海工_112學年度財務報告.pdf,延長照顧服務收入淨額,,"218,400","218,400",,,"332,867","332,867",
N04海工_112學年度財務報告.pdf,延長照顧服務收入,,"218,400","218,400",,,"337,200","337,200",
N04海工_112學年度財務報告.pdf,延長照顧服務收入退費,,,,,,"(4,333)","(4,333)",
N04海工_112學年度財務報告.pdf,利息收入,,"55,146","55,146",,,"32,860","32,860",
N04海工_112學年度財務報告.pdf,其他收入,,"2,593,336","2,593,336",,,"1,219,083","1,219,083",
N04海工_112學年度財務報告.pdf,支出,"6,569,832","8,709,004","2,139,172",133,"6,464,491","7,679,993","1,215,502",119
N04海工_112學年度財務報告.pdf,人事費,"4,768,660","2,899,218","(1,869,442)",61,"4,663,319","4,018,956","(644,363)",86
N04海工_112學年度財務報告.pdf,園長及教保服務人員薪資(含職務加給),"2,771,820","1,811,398","(960,422)",65,"2,702,295","2,551,468","(150,827)",94
N04海工_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"860,031","574,315","(285,716)",67,"846,125","800,536","(45,589)",95
N04海工_112學年度財務報告.pdf,加班費,"360,528","84,620","(275,908)",23,"352,212","85,669","(266,543)",24
N04海工_112學年度財務報告.pdf,勞、健保費,"431,884","265,577","(166,307)",61,"419,532","354,816","(64,716)",85
N04海工_112學年度財務報告.pdf,保險費,"7,000","6,440",(560),92,"7,000","6,860",(140),98
N04海工_112學年度財務報告.pdf,勞退金提撥,"200,160","121,965","(78,195)",61,"193,536","182,192","(11,344)",94
N04海工_112學年度財務報告.pdf,自強活動,"7,000","7,000",,100,"7,000","10,130","3,130",145
N04海工_112學年度財務報告.pdf,健康檢查,"1,000","1,000",,100,"7,000","1,000","(6,000)",14
N04海工_112學年度財務報告.pdf,代課費及代班費,"102,334",,"(102,334)",,"102,334",,"(102,334)",
N04海工_112學年度財務報告.pdf,資遣費,"26,903","26,903",,100,"26,285","26,285",,100
N04海工_112學年度財務報告.pdf,業務費,"566,000","384,913","(181,087)",68,"566,000","375,935","(190,065)",66
