檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N04海工_112學年度財務報告.pdf,6,112學年度,教保費收入,"$ 6,202,211",112
N04海工_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(37,864)",112
N04海工_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"218,400",112
N04海工_112學年度財務報告.pdf,6,112學年度,利息收入,"55,146",112
N04海工_112學年度財務報告.pdf,6,112學年度,其他收入,"2,593,336",112
N04海工_112學年度財務報告.pdf,6,112學年度,收入合計,"9,031,229",112
N04海工_112學年度財務報告.pdf,6,112學年度,人事費,"2,899,218",112
N04海工_112學年度財務報告.pdf,6,112學年度,業務費,"384,913",112
N04海工_112學年度財務報告.pdf,6,112學年度,材料費,"1,098,507",112
N04海工_112學年度財務報告.pdf,6,112學年度,維護費,"33,078",112
N04海工_112學年度財務報告.pdf,6,112學年度,修繕購置費,"143,845",112
N04海工_112學年度財務報告.pdf,6,112學年度,雜支,"6,373",112
N04海工_112學年度財務報告.pdf,6,112學年度,行政管理費,"90,012",112
N04海工_112學年度財務報告.pdf,6,112學年度,業務發展費,"1,300,000",112
N04海工_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"159,722",112
N04海工_112學年度財務報告.pdf,6,112學年度,其他支出,"2,593,336",112
N04海工_112學年度財務報告.pdf,6,112學年度,支出合計,"8,709,004",112
N04海工_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"322,225",112
N04海工_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N04海工_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"$ 322,225",112
