檔案名稱,項目,112學年度金額,111學年度金額
N04海工_112學年度財務報告.pdf,"營業活動之現金流量：
本期稅前餘絀","322,225","85,302"
N04海工_112學年度財務報告.pdf,"調整項目：
資產/負債淨變動數
應收帳款淨額","51,583","(33,583)"
N04海工_112學年度財務報告.pdf,預付款項,"(45,000)",
N04海工_112學年度財務報告.pdf,應付帳款,"(125,922)","64,412"
N04海工_112學年度財務報告.pdf,其他應付款,"96,520","(46,031)"
N04海工_112學年度財務報告.pdf,預收款項,"207,477","72,281"
N04海工_112學年度財務報告.pdf,其他流動負債,"12,727","(11,099)"
N04海工_112學年度財務報告.pdf,營業活動之淨現金流入,"519,610","131,282"
N04海工_112學年度財務報告.pdf,"投資活動之現金流量：
投資活動之淨現金流入",,
N04海工_112學年度財務報告.pdf,"籌資活動之現金流量：
籌資活動之淨現金流入",,
N04海工_112學年度財務報告.pdf,本期現金及約當現金增加數,"519,610","131,282"
N04海工_112學年度財務報告.pdf,期初現金及約當現金餘額,"2,706,430","2,575,148"
N04海工_112學年度財務報告.pdf,期末現金及約當現金餘額,"3,226,040","2,706,430"
