檔案名稱,報告學年度,章節,內容
N04海工_112學年度財務報告.pdf,112學年度,關係人交易,"(一) 關係人之名稱及關係
關係人名稱：社團法人新北市幼兒成長協會，與本幼兒園之關係：本幼兒園之受託法人
(二) 與關係人之重大交易事項
1. 行政管理費
關係人名稱：社團法人新北市幼兒成長協會，112.8.1~113.7.31：$ 53,737，111.8.1~112.7.31：$ 47,012
2. 其他應付款
關係人名稱：社團法人新北市幼兒成長協會，113 年 7 月 31 日：$ 53,737，112 年 7 月 31 日：$ 47,012"
N04海工_112學年度財務報告.pdf,112學年度,質抵押資產,無。
N04海工_112學年度財務報告.pdf,112學年度,重大承諾事項及或有事項,新北市政府與海工幼兒園母機構社團法人新北市幼兒成長協會，簽訂委託辦理「海工非營利幼兒園」契約書，委託年限自 109 年 8 月 1 日至 113 年 7 月 31 日，依據契約書第 16 條規定，受委託辦理之非營利幼兒園，連續 3 學年通過績效考評者，得於期間屆滿 8 個月前，提出後續 4 學年之經營計畫向新北市政府申請延長契約，申請期限最長不能超過 4 學年，並以延長 1 次為限。但未依政府採購法第 22 條第 1 項第 7 款規定於原招標公告及招標文件敘明延長期間海工者，不在此限。母機構已申請延長契約，新北市政府與母機構，已簽訂委託辦理新北市海工非營利幼兒園契約書，委託年限自 113 年 8 月 1 日至 117 年 7 月 31 日。
