檔案名稱,項目,110學年度金額,109學年度金額
N10大觀_110學年度財務報告.pdf,營業活動之現金流量：,,
N10大觀_110學年度財務報告.pdf,本期稅前餘絀,"188,742","(157,802)"
N10大觀_110學年度財務報告.pdf,調整項目：,,
N10大觀_110學年度財務報告.pdf,資產／負債淨變動數,,
N10大觀_110學年度財務報告.pdf,應收帳款淨額,"(69,229)","231,897"
N10大觀_110學年度財務報告.pdf,其他應收款,"(162,850)",
N10大觀_110學年度財務報告.pdf,預付款項,,283
N10大觀_110學年度財務報告.pdf,應付帳款,"6,000","(752,233)"
N10大觀_110學年度財務報告.pdf,其他應付款,"(953,197)","1,102,062"
N10大觀_110學年度財務報告.pdf,預收款項,"(79,019)","(552,095)"
N10大觀_110學年度財務報告.pdf,其他流動負債,,(542)
N10大觀_110學年度財務報告.pdf,資遣費準備淨變動,"(47,426)","47,426"
N10大觀_110學年度財務報告.pdf,營運產生之現金,"(1,116,979)","(81,004)"
N10大觀_110學年度財務報告.pdf,本期支付所得稅,"(21,399)",
N10大觀_110學年度財務報告.pdf,營業活動之淨現金流（出）,"(1,138,378)","(81,004)"
N10大觀_110學年度財務報告.pdf,投資活動之現金流量：,,
N10大觀_110學年度財務報告.pdf,投資活動之淨現金流入,,
N10大觀_110學年度財務報告.pdf,籌資活動之現金流量：,,
N10大觀_110學年度財務報告.pdf,籌資活動之淨現金流入,,
N10大觀_110學年度財務報告.pdf,本期現金及約當現金（減少）數,"(1,138,378)","(81,004)"
N10大觀_110學年度財務報告.pdf,期初現金及約當現金餘額,"6,373,688","6,454,692"
N10大觀_110學年度財務報告.pdf,期末現金及約當現金餘額,"5,235,310","6,373,688"
