檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N02山北_110學年度財務報告.pdf,110學年度,收入,,,,,
N02山北_110學年度財務報告.pdf,110學年度,教保費收入淨額,"10,232,832","10,148,808","(84,024)",99,
N02山北_110學年度財務報告.pdf,110學年度,教保費收入,"10,232,832","10,232,397",(435),100,
N02山北_110學年度財務報告.pdf,110學年度,教保費收入(家長繳費),"2,700,000","2,135,565","(564,435)",79,
N02山北_110學年度財務報告.pdf,110學年度,教保費收入(政府學費差額補助),"7,532,832","8,096,832","564,000",107,
N02山北_110學年度財務報告.pdf,110學年度,教保費收入減項,,"(83,589)","(83,589)",,
N02山北_110學年度財務報告.pdf,110學年度,五日未上課退費,,"(83,589)","(83,589)",,
N02山北_110學年度財務報告.pdf,110學年度,腸病毒退費,,,,,
N02山北_110學年度財務報告.pdf,110學年度,政府學費差額補助退費,,,,,
N02山北_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"333,797","333,797",,
N02山北_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"333,797","333,797",,
N02山北_110學年度財務報告.pdf,110學年度,延後托育收入,,"333,797","333,797",,
N02山北_110學年度財務報告.pdf,110學年度,延後托育收入退費,,,,,
N02山北_110學年度財務報告.pdf,110學年度,利息收入,,"25,283","25,283",,
N02山北_110學年度財務報告.pdf,110學年度,其他收入,,"1,874,209","1,874,209",,
N02山北_110學年度財務報告.pdf,110學年度,支出,"10,321,627","11,291,786","970,159",109,
N02山北_110學年度財務報告.pdf,110學年度,人事費,"7,774,379","6,971,731","(802,648)",90,
N02山北_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資(含職務加給),"4,525,538","4,026,084","(499,454)",89,
N02山北_110學年度財務報告.pdf,110學年度,學前特教師、社工人員、護理人員薪資,"461,025","463,241","2,216",100,
N02山北_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,128,439","951,683","(176,756)",84,
N02山北_110學年度財務報告.pdf,110學年度,加班費,"333,840","306,288","(27,552)",92,
N02山北_110學年度財務報告.pdf,110學年度,勞、健保費,"696,233","675,231","(21,002)",97,
N02山北_110學年度財務報告.pdf,110學年度,保險費,"13,000","12,978",(22),100,
N02山北_110學年度財務報告.pdf,110學年度,勞退金提撥,"332,784","324,044","(8,740)",97,
N02山北_110學年度財務報告.pdf,110學年度,自強活動,"13,000","12,382",(618),95,
N02山北_110學年度財務報告.pdf,110學年度,健康檢查,"1,000",,"(1,000)",,
N02山北_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"224,224","154,504","(69,720)",69,
N02山北_110學年度財務報告.pdf,110學年度,資遣費,"45,296","45,296",,100,
N02山北_110學年度財務報告.pdf,110學年度,業務費,"689,200","445,333","(243,867)",65,
N02山北_110學年度財務報告.pdf,110學年度,活動費,"95,000","81,338","(13,662)",86,
