檔案名稱,報告學年度,章節,內容
N05漢翔_111學年度財務報告.pdf,111學年度,關係人交易,"(一) 關係人之名稱及關係
關係人名稱：財團法人三之三生命教育基金會
與本幼兒園之關係：本幼兒園之受託法人
(二) 與關係人之重大交易事項
1. 行政管理費
關係人名稱：財團法人三之三生命教育基金會，112年7月31日：$112,681，111年7月31日：$112,681
2. 其他應付款
關係人名稱：財團法人三之三生命教育基金會，111.8.1~112.7.31：$112,681，110.8.1~111.7.31：$112,681"
N05漢翔_111學年度財務報告.pdf,111學年度,質抵押資產,無。
N05漢翔_111學年度財務報告.pdf,111學年度,重大承諾事項及或有事項,新北市政府與漢翔幼兒園機構財團法人三之三生命教育基金會，簽訂委託辦理「漢翔非營利幼兒園」契約書，委託年限自 109 年 8 月 1 日至 113 年 7 月 31 日，依據契約書第 16 條規定，受委託辦理之非營利幼兒園，連續 3 學年通過績效考評者，得於期間屆滿 8 個月前，提出後續 4 學年之經營計畫向新北市政府申請延長契約，申請期限最長不能超過 4 學年，並以延長 1 次為限。但未依政府採購法第 22 條第 1 項第 7 款規定於原招標公告及招標文件敘明延長期間者，不在此限。
