檔案名稱,項目,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率
N05漢翔_111學年度財務報告.pdf,收入,"$ 9,343,440","$ 11,976,524","$ 2,633,084",128,"$ 9,343,440","$ 11,841,923","$ 2,498,483",127
N05漢翔_111學年度財務報告.pdf,教保費收入淨額,"9,343,440","8,982,929","(360,511)",96,"9,343,440","8,992,892","(350,548)",96
N05漢翔_111學年度財務報告.pdf,教保費收入,"9,343,440","9,024,121","(319,319)",97,"9,343,440","9,030,884","(312,556)",97
N05漢翔_111學年度財務報告.pdf,教保費收入（家長繳費）,"1,824,000","918,000","(906,000)",50,"2,280,000","1,362,000","(918,000)",60
N05漢翔_111學年度財務報告.pdf,教保費收入（政府學費差額補助）,"7,519,440","8,106,121","586,681",108,"7,063,440","7,668,884","605,444",109
N05漢翔_111學年度財務報告.pdf,教保費收入減項,,"(41,192)","(41,192)",,,"(37,992)","(37,992)",
N05漢翔_111學年度財務報告.pdf,五日未上課退費,,"(41,192)","(41,192)",,,"(37,992)","(37,992)",
N05漢翔_111學年度財務報告.pdf,轉學/轉出退費,,-,-,,,"(5,250)","(5,250)",
N05漢翔_111學年度財務報告.pdf,延後托育收入淨額,,"490,290","490,290",,,"532,950","532,950",
N05漢翔_111學年度財務報告.pdf,延後托育收入淨額,,"490,290","490,290",,,"532,950","532,950",
N05漢翔_111學年度財務報告.pdf,延後托育收入,,"490,290","490,290",,,"532,950","532,950",
N05漢翔_111學年度財務報告.pdf,利息收入,,"39,517","39,517",,,"3,836","3,836",
N05漢翔_111學年度財務報告.pdf,其他收入,,"2,463,788","2,463,788",,,"2,312,245","2,312,245",
N05漢翔_111學年度財務報告.pdf,支出,"9,431,859","11,869,873","2,438,014",126,"9,263,359","11,009,882","1,746,523",119
N05漢翔_111學年度財務報告.pdf,人事費,"7,175,076","6,412,661","(762,415)",89,"7,006,576","5,862,148","(1,144,428)",84
N05漢翔_111學年度財務報告.pdf,園長及教保服務人員薪資（含職務加給）,"3,790,436","3,749,923","(40,513)",99,"3,693,101","3,411,215","(281,886)",92
N05漢翔_111學年度財務報告.pdf,學前特教師、社工人員、護理人員薪資,"502,740","438,714","(64,026)",87,"488,835","381,073","(107,762)",78
N05漢翔_111學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,230,971","1,096,280","(134,691)",89,"1,210,114","991,546","(218,568)",82
N05漢翔_111學年度財務報告.pdf,加班費,"548,328","111,487","(436,841)",20,"535,260","98,005","(437,255)",18
N05漢翔_111學年度財務報告.pdf,勞、健保費,"632,579","635,875","3,296",101,"610,951","604,774","(6,177)",99
N05漢翔_111學年度財務報告.pdf,保險費,"11,000","17,000","6,000",155,"11,000","9,990","(1,010)",91
N05漢翔_111學年度財務報告.pdf,勞退金提撥,"303,768","303,014",(754),100,"293,040","284,906","(8,134)",97
N05漢翔_111學年度財務報告.pdf,自強活動,"11,000","11,000",-,100,"11,000","3,688","(7,312)",34
N05漢翔_111學年度財務報告.pdf,健康檢查,"1,000",-,"(1,000)",-,"11,000","8,210","(2,790)",75
N05漢翔_111學年度財務報告.pdf,代課費及廚工代班費,"102,334","8,448","(93,886)",8,"102,334","28,800","(73,534)",28
N05漢翔_111學年度財務報告.pdf,資遣費,"40,920","40,920",-,100,"39,941","39,941",-,100
N05漢翔_111學年度財務報告.pdf,業務費,"694,700","412,723","(281,977)",59,"694,700","373,048","(321,652)",54
N05漢翔_111學年度財務報告.pdf,活動費,"95,000","107,536","12,536",113,"95,000","66,776","(28,224)",70
N05漢翔_111學年度財務報告.pdf,研習、進修,"22,000","2,950","(19,050)",13,"22,000","7,900","(14,100)",36
N05漢翔_111學年度財務報告.pdf,水費,"26,000","9,611","(16,389)",37,"26,000","8,620","(17,380)",33
N05漢翔_111學年度財務報告.pdf,電費,"204,000","135,064","(68,936)",66,"204,000","114,382","(89,618)",56
N05漢翔_111學年度財務報告.pdf,瓦斯費,"32,000","12,616","(19,384)",39,"32,000","10,843","(21,157)",34
N05漢翔_111學年度財務報告.pdf,保全,"80,000",-,"(80,000)",-,"80,000",-,"(65,441)",18
N05漢翔_111學年度財務報告.pdf,辦公文具,"18,000","16,337","(1,663)",91,"18,000","7,856","(10,144)",44
N05漢翔_111學年度財務報告.pdf,事務機器耗材,"60,000","40,429","(19,571)",67,"60,000","40,542","(19,458)",68
N05漢翔_111學年度財務報告.pdf,電話費（含網路）,"45,000","37,141","(7,859)",83,"45,000","35,287","(9,713)",78
N05漢翔_111學年度財務報告.pdf,郵資,"7,200","3,034","(4,166)",42,"7,200","8,499","1,299",118
N05漢翔_111學年度財務報告.pdf,文宣費（一般文宣）,"10,000","3,373","(6,627)",34,"10,000","1,000","(9,000)",10
N05漢翔_111學年度財務報告.pdf,文宣費（園刊）,"27,500","5,084","(22,416)",18,"27,500","15,000","(12,500)",55
N05漢翔_111學年度財務報告.pdf,攝影照片,"9,000","7,976","(1,024)",89,"9,000","7,970","(1,030)",89
N05漢翔_111學年度財務報告.pdf,園務特支,"39,000","31,572","(7,428)",81,"39,000","33,814","(5,186)",87
N05漢翔_111學年度財務報告.pdf,差旅費,"20,000",-,"(20,000)",-,"20,000",-,"(20,000)",-
N05漢翔_111學年度財務報告.pdf,材料費,"1,183,320","1,086,820","(96,500)",92,"1,183,320","907,619","(275,701)",77
N05漢翔_111學年度財務報告.pdf,教保材料費,"182,400","87,680","(94,720)",48,"182,400","83,448","(98,952)",46
N05漢翔_111學年度財務報告.pdf,日常消耗用品,"45,600","42,083","(3,517)",92,"45,600","28,659","(16,941)",63
N05漢翔_111學年度財務報告.pdf,藥品費,"5,320","6,121",801,115,"5,320","1,455","(3,865)",27
N05漢翔_111學年度財務報告.pdf,餐點費,"950,000","950,936",936,100,"950,000","794,057","(155,943)",84
N05漢翔_111學年度財務報告.pdf,維護費,"118,000","147,265","29,265",125,"118,000","82,394","(35,606)",70
N05漢翔_111學年度財務報告.pdf,水電修繕,"85,000","119,248","34,248",140,"85,000","60,264","(24,736)",71
N05漢翔_111學年度財務報告.pdf,園舍消毒、清潔,"25,000","27,000","2,000",108,"25,000","21,000","(4,000)",84
N05漢翔_111學年度財務報告.pdf,火險,"8,000","1,017","(6,983)",13,"8,000","1,130","(6,870)",14
N05漢翔_111學年度財務報告.pdf,修繕購置費,"106,400","46,170","(60,230)",43,"106,400","111,654","5,254",105
