檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N05漢翔_111學年度財務報告.pdf,5,現金及銀行存款,"$4,718,448",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,現金及銀行存款,"$4,227,113",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,應收帳款淨額,-,資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,應收帳款淨額,675,資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,其他應收款,"403,740",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,其他應收款,"367,937",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,預付款項,"29,307",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,預付款項,"9,450",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,其他流動資產,635,資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,其他流動資產,-,資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,流動資產合計,"5,152,130",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,流動資產合計,"4,605,175",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,資遣費準備金,"263,748",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,資遣費準備金,"222,828",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,業務發展準備金,"6,409,100",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,業務發展準備金,"5,664,300",資產,110學年度,前一年度,111年7月31日
N05漢翔_111學年度財務報告.pdf,5,代管財產,"687,572",資產,111學年度,本年度,112年7月31日
N05漢翔_111學年度財務報告.pdf,5,代管財產,"1,440,724",資產,110學年度,前一年度,111年7月31日
