檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N05漢翔_111學年度財務報告.pdf,111學年度,人事費,"7,175,076","6,412,661","(762,415)",11,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,人事費,"6,585,828","6,260,254","(325,574)",5,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,加班費,"548,328","111,487","(436,841)",80,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,資遣費,"40,920","40,920",,,
N05漢翔_111學年度財務報告.pdf,111學年度,業務費,"694,700","412,723","(281,977)",41,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,活動費,"95,000","107,536","12,536",13,細項 20%內勻支後，已符合勻支規定
N05漢翔_111學年度財務報告.pdf,111學年度,研習、進修,"22,000","2,950","(19,050)",87,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,水費,"26,000","9,611","(16,389)",63,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,電費,"204,000","135,064","(68,936)",34,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,瓦斯費,"32,000","12,616","(19,384)",61,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,保全,"80,000",,"(80,000)",,
N05漢翔_111學年度財務報告.pdf,111學年度,辦公文具,"18,000","16,337","(1,663)",9,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,事務機器耗材,"60,000","40,429","(19,571)",33,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,電話費（含網路）,"45,000","37,141","(7,859)",17,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,郵資,"7,200","3,034","(4,166)",58,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,文宣費（一般文宣）,"10,000","3,373","(6,627)",66,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,文宣費（園刊）,"27,500","5,084","(22,416)",82,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,攝影照片,"9,000","7,976","(1,024)",11,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,園務特支,"39,000","31,572","(7,428)",19,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,差旅費,"20,000",,"(20,000)",,
N05漢翔_111學年度財務報告.pdf,111學年度,材料費,"1,183,320","1,086,820","(96,500)",8,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,教保材料費,"182,400","87,680","(94,720)",52,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,日常消耗用品,"45,600","42,083","(3,517)",8,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,藥品費,"5,320","6,121",801,15,細項 20%內勻支後，已符合勻支規定
N05漢翔_111學年度財務報告.pdf,111學年度,餐點費,"950,000","950,936",936,,同上說明
N05漢翔_111學年度財務報告.pdf,111學年度,維護費,"118,000","147,265","29,265",25,經與修繕購置費勻支後，已符合勻支規定
N05漢翔_111學年度財務報告.pdf,111學年度,修繕購置費,"106,400","46,170","(60,230)",57,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,雜支,"41,682","34,343","(7,339)",18,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,行政管理費,"112,681","112,681",,,未超支
N05漢翔_111學年度財務報告.pdf,111學年度,合計,"9,431,859","8,252,663","(1,179,196)",13,
