檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N08鷺江_111學年度財務報告.pdf,111學年度,收入,"11,740,008","14,209,848","2,469,840",121,
N08鷺江_111學年度財務報告.pdf,111學年度,教保費收入淨額,"11,740,008","11,303,691","(436,317)",96,
N08鷺江_111學年度財務報告.pdf,111學年度,教保費收入,"11,740,008","11,365,099","(374,909)",97,
N08鷺江_111學年度財務報告.pdf,111學年度,教保費收入(家長繳費),"2,544,000","1,208,731","(1,335,269)",48,
N08鷺江_111學年度財務報告.pdf,111學年度,教保費收入(政府學費差額補助),"9,196,008","10,156,368","960,360",110,
N08鷺江_111學年度財務報告.pdf,111學年度,教保費收入減項,-,"(61,408)","(61,408)",-,
N08鷺江_111學年度財務報告.pdf,111學年度,五日未上課退費,-,"(55,934)","(55,934)",-,
N08鷺江_111學年度財務報告.pdf,111學年度,腸病毒退費,-,"(2,053)","(2,053)",-,
N08鷺江_111學年度財務報告.pdf,111學年度,轉學/轉出退費,-,-,-,-,
N08鷺江_111學年度財務報告.pdf,111學年度,政府學費差額補助退費,-,"(3,421)","(3,421)",-,
N08鷺江_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"254,145","254,145",-,
N08鷺江_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"254,145","254,145",-,
N08鷺江_111學年度財務報告.pdf,111學年度,延後托育收入,-,"257,960","257,960",-,
N08鷺江_111學年度財務報告.pdf,111學年度,延後托育收入退費,-,"(3,815)","(3,815)",-,
N08鷺江_111學年度財務報告.pdf,111學年度,利息收入,-,"35,454","35,454",-,
N08鷺江_111學年度財務報告.pdf,111學年度,其他收入,-,"2,616,558","2,616,558",-,
N08鷺江_111學年度財務報告.pdf,111學年度,支出,"11,644,333","13,753,629","2,109,296",118,
N08鷺江_111學年度財務報告.pdf,111學年度,人事費,"8,645,267","7,382,340","(1,262,927)",85,
N08鷺江_111學年度財務報告.pdf,111學年度,園長及教保服務人員薪資(含職務加給),"5,406,615","4,977,990","(428,625)",92,
N08鷺江_111學年度財務報告.pdf,111學年度,會計、總務、廚工、清潔薪資,"1,195,804","1,143,151","(52,653)",96,
N08鷺江_111學年度財務報告.pdf,111學年度,加班費,"655,356","58,501","(596,855)",9,
N08鷺江_111學年度財務報告.pdf,111學年度,勞、健保費,"782,434","731,855","(50,579)",94,
N08鷺江_111學年度財務報告.pdf,111學年度,保險費,"13,000","13,072",72,101,
N08鷺江_111學年度財務報告.pdf,111學年度,勞退金提撥,"352,128","345,123","(7,005)",98,
N08鷺江_111學年度財務報告.pdf,111學年度,自強活動,"13,000","9,610","(3,390)",74,
N08鷺江_111學年度財務報告.pdf,111學年度,健康檢查,"13,000","6,442","(6,558)",50,
N08鷺江_111學年度財務報告.pdf,111學年度,代課費及廚工代班費,"165,024","47,690","(117,334)",29,
N08鷺江_111學年度財務報告.pdf,111學年度,資遣費,"48,906","48,906",-,100,
N08鷺江_111學年度財務報告.pdf,111學年度,業務費,"819,400","415,654","(403,746)",51,
N08鷺江_111學年度財務報告.pdf,111學年度,活動費,"115,000","34,124","(80,876)",30,
