檔案名稱,報告學年度,章節,內容
N08鷺江_111學年度財務報告.pdf,111學年度,關係人交易,
N08鷺江_111學年度財務報告.pdf,111學年度,質抵押資產,
N08鷺江_111學年度財務報告.pdf,111學年度,重大承諾事項及或有事項,新北市政府與鷺江幼兒園母機構財團法人彭婉如文教基金會，簽訂委託辦理新北市鷺江非營利幼兒園契約書，委託年限自 110年8月1日至114年7月31日，且連續3學年通過績效考評者，依據契約書第18條規定，財團法人彭婉如文教基金會應於本契約屆滿8個月前向新北市政府提出續辦意願，有續辦意願者，應提具後續4學年之經營計畫書，申請繼續辦理，經新北市政府同意後繼續辦理。
