檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N08鷺江_111學年度財務報告.pdf,111學年度,本年度,流動資產合計+非流動資產合計=資產總計,14295302,14295302,通過
N08鷺江_111學年度財務報告.pdf,110學年度,前一年度,流動資產合計+非流動資產合計=資產總計,12511079,12511079,通過
N08鷺江_111學年度財務報告.pdf,111學年度,本年度,流動負債合計+非流動負債合計=負債總額,12092325,12092325,通過
N08鷺江_111學年度財務報告.pdf,111學年度,本年度,累積餘絀+本期餘絀=餘絀總額,2202977,2202977,通過
N08鷺江_111學年度財務報告.pdf,111學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,14295302,14295302,通過
N08鷺江_111學年度財務報告.pdf,110學年度,前一年度,流動負債合計+非流動負債合計=負債總額,10764321,10764321,通過
N08鷺江_111學年度財務報告.pdf,110學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1746758,1746758,通過
N08鷺江_111學年度財務報告.pdf,110學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,12511079,12511079,通過
