檔案名稱,項目,111學年度金額,110學年度金額
N08鷺江_111學年度財務報告.pdf,營業活動之現金流量：,,
N08鷺江_111學年度財務報告.pdf,本期稅前餘絀,"$ 456,219","$ 1,558,273"
N08鷺江_111學年度財務報告.pdf,調整項目：,,
N08鷺江_111學年度財務報告.pdf,資產/負債淨變動數,,
N08鷺江_111學年度財務報告.pdf,應收帳款淨額,"(5,461)","280,887"
N08鷺江_111學年度財務報告.pdf,其他應收款,"353,914","(529,011)"
N08鷺江_111學年度財務報告.pdf,預付款項,"2,355",(20)
N08鷺江_111學年度財務報告.pdf,應付帳款,"63,804","(47,998)"
N08鷺江_111學年度財務報告.pdf,其他應付款,"(536,437)","141,209"
N08鷺江_111學年度財務報告.pdf,預收款項,"333,889","173,850"
N08鷺江_111學年度財務報告.pdf,其他流動負債,"9,562","42,875"
N08鷺江_111學年度財務報告.pdf,資遣費準備淨變動,"24,453","(22,441)"
N08鷺江_111學年度財務報告.pdf,營運產生之現金,"702,298","1,597,624"
N08鷺江_111學年度財務報告.pdf,本期支付所得稅,-,"(1,927)"
N08鷺江_111學年度財務報告.pdf,營業活動之淨現金流入,"702,298","1,595,697"
N08鷺江_111學年度財務報告.pdf,投資活動之現金流量：,,
N08鷺江_111學年度財務報告.pdf,投資活動之淨現金流入,-,-
N08鷺江_111學年度財務報告.pdf,籌資活動之現金流量：,,
N08鷺江_111學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N08鷺江_111學年度財務報告.pdf,本期現金及約當現金增加數,"702,298","1,595,697"
N08鷺江_111學年度財務報告.pdf,期初現金及約當現金餘額,"4,995,159","3,399,462"
N08鷺江_111學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,697,457","$ 4,995,159"
