檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N07北大_112學年度財務報告.pdf,6,112學年度,教保費收入,"20,772,125",112
N07北大_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(331,875)",112
N07北大_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"418,145",112
N07北大_112學年度財務報告.pdf,6,112學年度,利息收入,"125,882",112
N07北大_112學年度財務報告.pdf,6,112學年度,其他收入,"2,813,277",112
N07北大_112學年度財務報告.pdf,6,112學年度,收入合計,"23,797,554",112
N07北大_112學年度財務報告.pdf,6,112學年度,人事費,"14,991,246",112
N07北大_112學年度財務報告.pdf,6,112學年度,業務費,"653,272",112
N07北大_112學年度財務報告.pdf,6,112學年度,材料費,"2,438,717",112
N07北大_112學年度財務報告.pdf,6,112學年度,維護費,"155,492",112
N07北大_112學年度財務報告.pdf,6,112學年度,修繕購置費,"243,262",112
N07北大_112學年度財務報告.pdf,6,112學年度,雜支,"37,657",112
N07北大_112學年度財務報告.pdf,6,112學年度,行政管理費,"358,913",112
N07北大_112學年度財務報告.pdf,6,112學年度,業務發展費,"1,772,000",112
N07北大_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"385,564",112
N07北大_112學年度財務報告.pdf,6,112學年度,其他支出,"2,813,277",112
N07北大_112學年度財務報告.pdf,6,112學年度,支出合計,"23,849,400",112
N07北大_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"(51,846)",112
N07北大_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N07北大_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"$(51,846)",112
