檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N09安興_112學年度財務報告.pdf,112學年度,本年度,流動資產合計+非流動資產合計=資產總計,11035497,11035497,通過
N09安興_112學年度財務報告.pdf,111學年度,前一年度,流動資產合計+非流動資產合計=資產總計,9231968,9231968,通過
N09安興_112學年度財務報告.pdf,112學年度,本年度,流動負債合計+非流動負債合計=負債總額,9268436,9268436,通過
N09安興_112學年度財務報告.pdf,112學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1767061,1767061,通過
N09安興_112學年度財務報告.pdf,112學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,11035497,11035497,通過
N09安興_112學年度財務報告.pdf,111學年度,前一年度,流動負債合計+非流動負債合計=負債總額,7541480,7541480,通過
N09安興_112學年度財務報告.pdf,111學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1690488,1690488,通過
N09安興_112學年度財務報告.pdf,111學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,9231968,9231968,通過
