檔案名稱,項目,112學年度金額,111學年度金額
N09安興_112學年度財務報告.pdf,營業活動之現金流量：,,
N09安興_112學年度財務報告.pdf,本期稅前餘額,"$ 76,573","$ 241,652"
N09安興_112學年度財務報告.pdf,調整項目：,,
N09安興_112學年度財務報告.pdf,資產/負債淨變動數,,
N09安興_112學年度財務報告.pdf,應收帳款淨額,"439,980","(286,576)"
N09安興_112學年度財務報告.pdf,其他應收款,"2,077","(2,077)"
N09安興_112學年度財務報告.pdf,預付款項,"7,394","(39,820)"
N09安興_112學年度財務報告.pdf,其他流動資產,"(3,306)",-
N09安興_112學年度財務報告.pdf,應付帳款,"(5,938)","(76,740)"
N09安興_112學年度財務報告.pdf,其他應付款,"(61,084)","(67,608)"
N09安興_112學年度財務報告.pdf,預收款項,"111,566","101,428"
N09安興_112學年度財務報告.pdf,營業活動之淨現金流入（出）,"567,262","(129,741)"
N09安興_112學年度財務報告.pdf,投資活動之現金流量：,,
N09安興_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N09安興_112學年度財務報告.pdf,籌資活動之現金流量：,,
N09安興_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N09安興_112學年度財務報告.pdf,本期現金及約當現金增加（減少）數,"567,262","(129,741)"
N09安興_112學年度財務報告.pdf,期初現金及約當現金餘額,"3,830,890","3,960,631"
N09安興_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 4,398,152","$ 3,830,890"
