檔案名稱,項目,110學年度金額,109學年度金額
N04海工_110學年度財務報告.pdf,營業活動之現金流量：,,
N04海工_110學年度財務報告.pdf,本期稅前餘絀,"373,081","214,665"
N04海工_110學年度財務報告.pdf,調整項目：,,
N04海工_110學年度財務報告.pdf,資產／負債淨變動數,,
N04海工_110學年度財務報告.pdf,應收帳款淨額,"221,460","(219,460)"
N04海工_110學年度財務報告.pdf,應付帳款,"49,110","(531,152)"
N04海工_110學年度財務報告.pdf,其他應付款,"22,885","55,213"
N04海工_110學年度財務報告.pdf,預收款項,"105,000","335,340"
N04海工_110學年度財務報告.pdf,其他流動負債,"3,021","(6,985)"
N04海工_110學年度財務報告.pdf,資遣費準備淨變動,"(3,317)","3,317"
N04海工_110學年度財務報告.pdf,業務發展準備淨變動,,
N04海工_110學年度財務報告.pdf,營運產生之現金,"771,240","(149,062)"
N04海工_110學年度財務報告.pdf,本期支付所得稅,,"(63,106)"
N04海工_110學年度財務報告.pdf,營業活動之淨現金流入（出）,"771,240","(212,168)"
N04海工_110學年度財務報告.pdf,投資活動之現金流量：,,
N04海工_110學年度財務報告.pdf,投資活動之淨現金流入,,
N04海工_110學年度財務報告.pdf,籌資活動之現金流量：,,
N04海工_110學年度財務報告.pdf,籌資活動之淨現金流入,,
N04海工_110學年度財務報告.pdf,本期現金及約當現金增加（減少）數,"771,240","(212,168)"
N04海工_110學年度財務報告.pdf,期初現金及約當現金餘額,"1,803,908","2,016,076"
N04海工_110學年度財務報告.pdf,期末現金及約當現金餘額,"2,575,148","1,803,908"
