檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N04海工_110學年度財務報告.pdf,6,110學年度,教保費收入,"$ 6,210,921",110
N04海工_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(47,772)",110
N04海工_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"223,200",110
N04海工_110學年度財務報告.pdf,6,110學年度,利息收入,"11,066",110
N04海工_110學年度財務報告.pdf,6,110學年度,其他收入,"765,804",110
N04海工_110學年度財務報告.pdf,6,110學年度,收入合計,"7,163,219",110
N04海工_110學年度財務報告.pdf,6,110學年度,人事費,"3,798,440",110
N04海工_110學年度財務報告.pdf,6,110學年度,業務費,"356,834",110
N04海工_110學年度財務報告.pdf,6,110學年度,材料費,"956,833",110
N04海工_110學年度財務報告.pdf,6,110學年度,維護費,"70,282",110
N04海工_110學年度財務報告.pdf,6,110學年度,修繕購置費,"195,741",110
N04海工_110學年度財務報告.pdf,6,110學年度,雜支,"10,488",110
N04海工_110學年度財務報告.pdf,6,110學年度,行政管理費,"90,012",110
N04海工_110學年度財務報告.pdf,6,110學年度,業務發展費,"336,000",110
N04海工_110學年度財務報告.pdf,6,110學年度,延後托育支出,"209,704",110
N04海工_110學年度財務報告.pdf,6,110學年度,其他支出,"765,804",110
N04海工_110學年度財務報告.pdf,6,110學年度,支出合計,"6,790,138",110
N04海工_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"373,081",110
N04海工_110學年度財務報告.pdf,6,110學年度,所得稅費用,-,110
N04海工_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"$ 373,081",110
