檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N06昌平_113學年度財務報告.pdf,6,113學年度,教保費收入,"$11,765,429",113
N06昌平_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(76,214)",113
N06昌平_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"92,310",113
N06昌平_113學年度財務報告.pdf,6,113學年度,利息收入,"94,566",113
N06昌平_113學年度財務報告.pdf,6,113學年度,其他收入,"2,756,369",113
N06昌平_113學年度財務報告.pdf,6,113學年度,收入合計,"14,632,460",113
N06昌平_113學年度財務報告.pdf,6,113學年度,人事費,"7,955,962",113
N06昌平_113學年度財務報告.pdf,6,113學年度,業務費,"501,842",113
N06昌平_113學年度財務報告.pdf,6,113學年度,材料費,"1,638,179",113
N06昌平_113學年度財務報告.pdf,6,113學年度,維護費,"70,966",113
N06昌平_113學年度財務報告.pdf,6,113學年度,修繕購置費,"157,505",113
N06昌平_113學年度財務報告.pdf,6,113學年度,雜支,"8,140",113
N06昌平_113學年度財務報告.pdf,6,113學年度,行政管理費,"277,604",113
N06昌平_113學年度財務報告.pdf,6,113學年度,業務發展費,"1,783,086",113
N06昌平_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"85,320",113
N06昌平_113學年度財務報告.pdf,6,113學年度,其他支出,"2,756,369",113
N06昌平_113學年度財務報告.pdf,6,113學年度,支出合計,"15,234,973",113
N06昌平_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(602,513)",113
N06昌平_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N06昌平_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(602,513)",113
