檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N06昌平_113學年度財務報告.pdf,113學年度,本年度,流動資產合計+非流動資產合計=資產總計,16254782,16254782,通過
N06昌平_113學年度財務報告.pdf,112學年度,前一年度,流動資產合計+非流動資產合計=資產總計,15705283,15705283,通過
N06昌平_113學年度財務報告.pdf,113學年度,本年度,流動負債合計+非流動負債合計=負債總額,14917899,14917899,通過
N06昌平_113學年度財務報告.pdf,113學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1336883,1336883,通過
N06昌平_113學年度財務報告.pdf,113學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,16254782,16254782,通過
N06昌平_113學年度財務報告.pdf,112學年度,前一年度,流動負債合計+非流動負債合計=負債總額,13765887,13765887,通過
N06昌平_113學年度財務報告.pdf,112學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1939396,1939396,通過
N06昌平_113學年度財務報告.pdf,112學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,15705283,15705283,通過
