檔案名稱,報告學年度,章節,內容
N06昌平_111學年度財務報告.pdf,111學年度,關係人交易,
N06昌平_111學年度財務報告.pdf,111學年度,質抵押資產,
N06昌平_111學年度財務報告.pdf,111學年度,重大承諾事項及或有事項,新北市政府與昌平幼兒園母機構財團法人三之三生命教育基金會，簽訂委託辦理新北市昌平非營利幼兒園契約書，委託年限自 110 年 8 月 1 日至 114 年 7 月 31 日，且連續 3 學年通過績效考評者，依據契約書第 18 條規定，財團法人三之三生命教育基金會應於本契約屆滿 8 個月前向新北市政府提出續辦意願，有續辦意願者，應提具後續 4 學年之經營計畫書，申請繼續辦理，經新北市政府同意後繼續辦理。
