檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N06昌平_111學年度財務報告.pdf,111學年度,本年度,流動資產合計+非流動資產合計=資產總計,13342087,13342087,通過
N06昌平_111學年度財務報告.pdf,110學年度,前一年度,流動資產合計+非流動資產合計=資產總計,11454209,11454209,通過
N06昌平_111學年度財務報告.pdf,111學年度,本年度,流動負債合計+非流動負債合計=負債總額,11589833,11589833,通過
N06昌平_111學年度財務報告.pdf,111學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1752254,1752254,通過
N06昌平_111學年度財務報告.pdf,111學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,13342087,13342087,通過
N06昌平_111學年度財務報告.pdf,110學年度,前一年度,流動負債合計+非流動負債合計=負債總額,9634911,9634911,通過
N06昌平_111學年度財務報告.pdf,110學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1819298,1819298,通過
N06昌平_111學年度財務報告.pdf,110學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,11454209,11454209,通過
