檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N06昌平_111學年度財務報告.pdf,6,111學年度,教保費收入,"$ 11,744,640",111
N06昌平_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(99,799)",111
N06昌平_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"281,880",111
N06昌平_111學年度財務報告.pdf,6,111學年度,利息收入,"38,872",111
N06昌平_111學年度財務報告.pdf,6,111學年度,其他收入,"2,000,383",111
N06昌平_111學年度財務報告.pdf,6,111學年度,收入合計,"13,965,976",111
N06昌平_111學年度財務報告.pdf,6,111學年度,人事費,"7,770,536",111
N06昌平_111學年度財務報告.pdf,6,111學年度,業務費,"559,276",111
N06昌平_111學年度財務報告.pdf,6,111學年度,材料費,"1,575,211",111
N06昌平_111學年度財務報告.pdf,6,111學年度,維護費,"73,263",111
N06昌平_111學年度財務報告.pdf,6,111學年度,修繕購置費,"115,092",111
N06昌平_111學年度財務報告.pdf,6,111學年度,雜支,"12,058",111
N06昌平_111學年度財務報告.pdf,6,111學年度,行政管理費,"262,780",111
N06昌平_111學年度財務報告.pdf,6,111學年度,業務發展費,"1,382,600",111
N06昌平_111學年度財務報告.pdf,6,111學年度,延後托育支出,"281,821",111
N06昌平_111學年度財務報告.pdf,6,111學年度,其他支出,"2,000,383",111
N06昌平_111學年度財務報告.pdf,6,111學年度,支出合計,"14,033,020",111
N06昌平_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"(67,044)",111
N06昌平_111學年度財務報告.pdf,6,111學年度,所得稅費用,-,111
N06昌平_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"$(67,044)",111
