檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N06昌平_111學年度財務報告.pdf,111學年度,收入,"$ 12,130,560","$ 13,965,976","$ 1,835,416",115,
N06昌平_111學年度財務報告.pdf,111學年度,教保費收入淨額,"12,130,560","11,644,841","(485,719)",96,
N06昌平_111學年度財務報告.pdf,111學年度,教保費收入,"12,130,560","11,744,640","(385,920)",97,
N06昌平_111學年度財務報告.pdf,111學年度,教保費收入（家長繳費）,"2,880,000","1,806,000","(1,074,000)",63,
N06昌平_111學年度財務報告.pdf,111學年度,教保費收入（政府學費差額補助）,"9,250,560","9,938,640","688,080",107,
N06昌平_111學年度財務報告.pdf,111學年度,教保費收入減項,,"(99,799)","(99,799)",,
N06昌平_111學年度財務報告.pdf,111學年度,五日未上課退費,-,"(99,799)","(99,799)",-,
N06昌平_111學年度財務報告.pdf,111學年度,轉學/轉出退費,-,-,-,-,
N06昌平_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"281,880","281,880",-,
N06昌平_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"281,880","281,880",-,
N06昌平_111學年度財務報告.pdf,111學年度,延後托育收入,-,"281,880","281,880",-,
N06昌平_111學年度財務報告.pdf,111學年度,利息收入,-,"38,872","38,872",-,
N06昌平_111學年度財務報告.pdf,111學年度,其他收入,-,"2,000,383","2,000,383",-,
N06昌平_111學年度財務報告.pdf,111學年度,支出,"12,033,830","14,033,020","1,999,190",117,
N06昌平_111學年度財務報告.pdf,111學年度,人事費,"8,783,086","7,770,536","(1,012,550)",88,
N06昌平_111學年度財務報告.pdf,111學年度,園長及教保服務人員薪資（含職務加給）,"5,504,355","5,089,969","(414,386)",92,
N06昌平_111學年度財務報告.pdf,111學年度,會計、總務、廚工、清潔薪資,"1,216,661","1,153,730","(62,931)",95,
N06昌平_111學年度財務報告.pdf,111學年度,加班費,"667,056","272,630","(394,426)",41,
N06昌平_111學年度財務報告.pdf,111學年度,勞、健保費,"796,505","738,402","(58,103)",93,
N06昌平_111學年度財務報告.pdf,111學年度,保險費,"13,000","11,979","(1,021)",92,
N06昌平_111學年度財務報告.pdf,111學年度,勞退金提撥,"358,452","362,434","3,982",101,
N06昌平_111學年度財務報告.pdf,111學年度,自強活動,"13,000","13,000",-,100,
N06昌平_111學年度財務報告.pdf,111學年度,健康檢查,"13,000","3,680","(9,320)",28,
N06昌平_111學年度財務報告.pdf,111學年度,代課費及廚工代班費,"151,272","74,927","(76,345)",50,
N06昌平_111學年度財務報告.pdf,111學年度,資遣費,"49,785","49,785",-,100,
N06昌平_111學年度財務報告.pdf,111學年度,業務費,"819,400","559,276","(260,124)",68,
N06昌平_111學年度財務報告.pdf,111學年度,活動費,"115,000","55,086","(59,914)",48,
N06昌平_111學年度財務報告.pdf,111學年度,研習、進修,"26,000","3,600","(22,400)",14,
N06昌平_111學年度財務報告.pdf,111學年度,水費,"32,000","24,404","(7,596)",76,
N06昌平_111學年度財務報告.pdf,111學年度,電費,"264,000","229,217","(34,783)",87,
