檔案名稱,項目,111學年度金額,110學年度金額
N06昌平_111學年度財務報告.pdf,營業活動之現金流量：,,
N06昌平_111學年度財務報告.pdf,本期稅前餘絀,"$(67,044)","$ 1,642,510"
N06昌平_111學年度財務報告.pdf,調整項目：,,
N06昌平_111學年度財務報告.pdf,資產／負債淨變動數,,
N06昌平_111學年度財務報告.pdf,應收帳款淨額,"3,522","(10,362)"
N06昌平_111學年度財務報告.pdf,其他應收款,"162,572","(208,848)"
N06昌平_111學年度財務報告.pdf,預付款項,"17,710","(20,410)"
N06昌平_111學年度財務報告.pdf,其他流動資產,444,(412)
N06昌平_111學年度財務報告.pdf,應付帳款,"(6,780)","(70,507)"
N06昌平_111學年度財務報告.pdf,其他應付款,"312,075","21,950"
N06昌平_111學年度財務報告.pdf,預收款項,"(86,716)","321,423"
N06昌平_111學年度財務報告.pdf,其他流動負債,(106),162
N06昌平_111學年度財務報告.pdf,營運產生之現金,"335,677","1,675,506"
N06昌平_111學年度財務報告.pdf,本期支付所得稅,-,"(30,655)"
N06昌平_111學年度財務報告.pdf,營業活動之淨現金流入,"335,677","1,644,851"
N06昌平_111學年度財務報告.pdf,投資活動之現金流量：,,
N06昌平_111學年度財務報告.pdf,投資活動之淨現金流入,-,-
N06昌平_111學年度財務報告.pdf,籌資活動之現金流量：,,
N06昌平_111學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N06昌平_111學年度財務報告.pdf,本期現金及約當現金增加數,"335,677","1,644,851"
N06昌平_111學年度財務報告.pdf,期初現金及約當現金餘額,"5,319,138","3,674,287"
N06昌平_111學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,654,815","$ 5,319,138"
