檔案名稱,項目,110學年度金額,109學年度金額
N07北大_110學年度財務報告.pdf,營業活動之現金流量：,,
N07北大_110學年度財務報告.pdf,本期稅前餘絀,"$ 1,523,006","$(737,875)"
N07北大_110學年度財務報告.pdf,調整項目：,,
N07北大_110學年度財務報告.pdf,資產／負債淨變動數,,
N07北大_110學年度財務報告.pdf,應收帳款淨額,"(2,351)",-
N07北大_110學年度財務報告.pdf,其他應收款,"315,175","(142,528)"
N07北大_110學年度財務報告.pdf,預付款項,"58,795","(67,725)"
N07北大_110學年度財務報告.pdf,其他應付款,"71,141","21,479"
N07北大_110學年度財務報告.pdf,預收款項,"225,000","995,400"
N07北大_110學年度財務報告.pdf,其他流動負債,"10,040",148
N07北大_110學年度財務報告.pdf,營業活動之淨現金流入,"2,200,806","68,899"
N07北大_110學年度財務報告.pdf,投資活動之現金流量：,,
N07北大_110學年度財務報告.pdf,投資活動之淨現金流入,-,-
N07北大_110學年度財務報告.pdf,籌資活動之現金流量：,,
N07北大_110學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N07北大_110學年度財務報告.pdf,本期現金及約當現金增加數,"2,200,806","68,899"
N07北大_110學年度財務報告.pdf,期初現金及約當現金餘額,"3,835,528","3,766,629"
N07北大_110學年度財務報告.pdf,期末現金及約當現金餘額,"$ 6,036,334","$ 3,835,528"
