檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N07北大_110學年度財務報告.pdf,6,110學年度,教保費收入,"14,247,593",110
N07北大_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(135,167)",110
N07北大_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"188,370",110
N07北大_110學年度財務報告.pdf,6,110學年度,利息收入,"27,037",110
N07北大_110學年度財務報告.pdf,6,110學年度,其他收入,"1,832,078",110
N07北大_110學年度財務報告.pdf,6,110學年度,收入合計,"16,159,911",110
N07北大_110學年度財務報告.pdf,6,110學年度,人事費,"9,226,416",110
N07北大_110學年度財務報告.pdf,6,110學年度,業務費,"685,944",110
N07北大_110學年度財務報告.pdf,6,110學年度,材料費,"1,973,721",110
N07北大_110學年度財務報告.pdf,6,110學年度,維護費,"67,720",110
N07北大_110學年度財務報告.pdf,6,110學年度,修繕購置費,"202,136",110
N07北大_110學年度財務報告.pdf,6,110學年度,雜支,"51,208",110
N07北大_110學年度財務報告.pdf,6,110學年度,行政管理費,"315,990",110
N07北大_110學年度財務報告.pdf,6,110學年度,業務發展費,"99,000",110
N07北大_110學年度財務報告.pdf,6,110學年度,延後托育支出,"182,692",110
N07北大_110學年度財務報告.pdf,6,110學年度,其他支出,"1,832,078",110
N07北大_110學年度財務報告.pdf,6,110學年度,支出合計,"14,636,905",110
N07北大_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"1,523,006",110
N07北大_110學年度財務報告.pdf,6,110學年度,所得稅費用,-,110
N07北大_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"1,523,006",110
