檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N04海工_113學年度財務報告.pdf,113學年度,人事費,"$ 5,682,706","$ 5,072,224","$(610,482)",(11),未超支
N04海工_113學年度財務報告.pdf,113學年度,人事費,"5,221,255","4,904,623","(316,632)",(6),未超支
N04海工_113學年度財務報告.pdf,113學年度,加班費,"429,408","135,558","(293,850)",(68),未超支
N04海工_113學年度財務報告.pdf,113學年度,資遣費,"32,043","32,043",-,,
N04海工_113學年度財務報告.pdf,113學年度,業務費,"546,000","391,984","(154,016)",(28),未超支
N04海工_113學年度財務報告.pdf,113學年度,活動費,"75,000","89,486","14,486",19,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,研習、進修,"14,000","7,600","(6,400)",(46),未超支
N04海工_113學年度財務報告.pdf,113學年度,水費,"20,000","9,191","(10,809)",(54),未超支
N04海工_113學年度財務報告.pdf,113學年度,電費,"144,000","87,516","(56,484)",(39),未超支
N04海工_113學年度財務報告.pdf,113學年度,瓦斯費,"30,000","30,680",680,2,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,保全,"60,000",-,"(60,000)",-,
N04海工_113學年度財務報告.pdf,113學年度,辦公文具,"12,000","12,709",709,6,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,事務機器耗材,"55,000","60,076","5,076",9,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,電話費（含 ADSL）,"36,000","17,811","(18,189)",(51),未超支
N04海工_113學年度財務報告.pdf,113學年度,郵費,"6,000","3,429","(2,571)",(43),未超支
N04海工_113學年度財務報告.pdf,113學年度,文宣費（一般文宣）,"10,000","3,690","(6,310)",(63),未超支
N04海工_113學年度財務報告.pdf,113學年度,文宣費（園刊）,"25,000","25,137",137,1,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,攝影照片,"8,000","8,784",784,10,細項 20%內勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,園務特支,"36,000","35,875",(125),-,未超支
N04海工_113學年度財務報告.pdf,113學年度,差旅費,"15,000",-,"(15,000)",-,
N04海工_113學年度財務報告.pdf,113學年度,材料費,"838,560","862,438","23,878",3,同教保材料費說明
N04海工_113學年度財務報告.pdf,113學年度,教保材料費,"115,200","136,132","20,932",18,應優先於材料費總預算內相互勻支後，仍有不足，經與業務費勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,日常消耗用品,"28,800","32,356","3,556",12,同上說明
N04海工_113學年度財務報告.pdf,113學年度,藥品費,"3,360","3,305",(55),(2),未超支
N04海工_113學年度財務報告.pdf,113學年度,餐點費,"691,200","690,645",(555),-,未超支
N04海工_113學年度財務報告.pdf,113學年度,維護費,"93,000","49,846","(43,154)",(46),未超支
N04海工_113學年度財務報告.pdf,113學年度,修繕購置費,"67,200","234,047","166,847",248,經與維護費及業務費相互勻支後，已符合勻支規定
N04海工_113學年度財務報告.pdf,113學年度,雜支,"32,760","12,400","(20,360)",(62),未超支
N04海工_113學年度財務報告.pdf,113學年度,行政管理費,"138,456","138,456",-,-,未超支
N04海工_113學年度財務報告.pdf,113學年度,合計,"$ 7,398,682","$ 6,761,395","$(637,287)",(9),
