檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N04海工_113學年度財務報告.pdf,6,113學年度,教保費收入,"7,394,688",113
N04海工_113學年度財務報告.pdf,6,113學年度,教保費收入減項,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,利息收入,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,其他收入,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,收入合計,"7,394,688",113
N04海工_113學年度財務報告.pdf,6,113學年度,人事費,"5,682,706",113
N04海工_113學年度財務報告.pdf,6,113學年度,業務費,"546,000",113
N04海工_113學年度財務報告.pdf,6,113學年度,材料費,"838,560",113
N04海工_113學年度財務報告.pdf,6,113學年度,維護費,"93,000",113
N04海工_113學年度財務報告.pdf,6,113學年度,修繕購置費,"67,200",113
N04海工_113學年度財務報告.pdf,6,113學年度,雜支,"32,760",113
N04海工_113學年度財務報告.pdf,6,113學年度,行政管理費,"138,456",113
N04海工_113學年度財務報告.pdf,6,113學年度,業務發展費,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,其他支出,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,支出合計,"7,398,682",113
N04海工_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(3,994)",113
N04海工_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N04海工_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(3,994)",113
