檔案名稱,項目,113學年度金額,112學年度金額
N04海工_113學年度財務報告.pdf,營業活動之現金流量：,,
N04海工_113學年度財務報告.pdf,本期稅前餘絀,"$(520,068)","$ 322,225"
N04海工_113學年度財務報告.pdf,調整項目：,,
N04海工_113學年度財務報告.pdf,資產/負債淨變動數,,
N04海工_113學年度財務報告.pdf,應收帳款淨額,-,"51,583"
N04海工_113學年度財務報告.pdf,其他應收款,"(9,269)",-
N04海工_113學年度財務報告.pdf,預付款項,"39,283","(45,000)"
N04海工_113學年度財務報告.pdf,應付帳款,-,"(125,922)"
N04海工_113學年度財務報告.pdf,其他應付款,"419,463","96,520"
N04海工_113學年度財務報告.pdf,預收款項,"153,334","207,477"
N04海工_113學年度財務報告.pdf,其他流動負債,"(13,904)","12,727"
N04海工_113學年度財務報告.pdf,營業活動之淨現金流入,"68,839","519,610"
N04海工_113學年度財務報告.pdf,投資活動之現金流量：,,
N04海工_113學年度財務報告.pdf,投資活動之淨現金流入,-,-
N04海工_113學年度財務報告.pdf,籌資活動之現金流量：,,
N04海工_113學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N04海工_113學年度財務報告.pdf,本期現金及約當現金增加數,"68,839","519,610"
N04海工_113學年度財務報告.pdf,期初現金及約當現金餘額,"3,226,040","2,706,430"
N04海工_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 3,294,879","$ 3,226,040"
