檔案名稱,項目,110學年度金額,109學年度金額
N08鷺江_110學年度財務報告.pdf,營業活動之現金流量：,,
N08鷺江_110學年度財務報告.pdf,本期稅前餘絀,"$ 1,558,273","$(1,047,951)"
N08鷺江_110學年度財務報告.pdf,調整項目：,,
N08鷺江_110學年度財務報告.pdf,資產／負債淨變動數,,
N08鷺江_110學年度財務報告.pdf,應收帳款淨額,"280,887","18,819"
N08鷺江_110學年度財務報告.pdf,其他應收款,"(529,011)",(308)
N08鷺江_110學年度財務報告.pdf,預付款項,(20),"(9,685)"
N08鷺江_110學年度財務報告.pdf,應付帳款,"(47,998)","(221,467)"
N08鷺江_110學年度財務報告.pdf,其他應付款,"141,209","509,967"
N08鷺江_110學年度財務報告.pdf,預收款項,"173,850","717,516"
N08鷺江_110學年度財務報告.pdf,其他流動負債,"42,875","(15,456)"
N08鷺江_110學年度財務報告.pdf,資遣費準備淨變動,"(22,441)","22,441"
N08鷺江_110學年度財務報告.pdf,營運產生之現金,"1,597,624","(26,124)"
N08鷺江_110學年度財務報告.pdf,本期支付所得稅,"(1,927)","(21,084)"
N08鷺江_110學年度財務報告.pdf,營業活動之淨現金流入（出）,"1,595,697","(47,208)"
N08鷺江_110學年度財務報告.pdf,投資活動之現金流量：,,
N08鷺江_110學年度財務報告.pdf,投資活動之淨現金流入,-,-
N08鷺江_110學年度財務報告.pdf,籌資活動之現金流量：,,
N08鷺江_110學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N08鷺江_110學年度財務報告.pdf,本期現金及約當現金增加（減少）數,"1,595,697","(47,208)"
N08鷺江_110學年度財務報告.pdf,期初現金及約當現金餘額,"3,399,462","3,446,670"
N08鷺江_110學年度財務報告.pdf,期末現金及約當現金餘額,"$ 4,995,159","$ 3,399,462"
