檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N08鷺江_110學年度財務報告.pdf,6,110學年度,教保費收入,"11,370,572",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(72,811)",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"233,235",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,利息收入,"1,094",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,其他收入,"2,217,058",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,收入合計,"13,749,148",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,人事費,"6,903,487",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,業務費,"443,209",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,材料費,"1,222,323",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,維護費,"73,357",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,修繕購置費,"139,375",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,雜支,"6,077",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,行政管理費,"241,682",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,業務發展費,"836,278",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,延後托育支出,"96,196",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,其他支出,"2,217,058",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,呆帳損失,"11,833",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,支出合計,"12,190,875",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"1,558,273",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,所得稅費用,"1,927",110
N08鷺江_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"1,556,346",110
