檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N05漢翔_113學年度財務報告.pdf,6,113學年度,教保費收入,"12,232,000",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(260,968)",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"127,995",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,利息收入,"105,887",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,其他收入,"999,581",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,收入合計,"13,204,495",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,人事費,"6,363,884",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,業務費,"298,788",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,材料費,"811,922",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,維護費,"127,280",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,修繕購置費,"55,784",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,雜支,"39,257",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,行政管理費,"197,754",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,業務發展費,"2,575,405",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"127,995",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,其他支出,"999,581",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,支出合計,"11,597,650",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"1,606,845",113
N05漢翔_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N05漢翔_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"1,606,845",113
