檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N05漢翔_113學年度財務報告.pdf,113學年度,本年度,流動資產合計+非流動資產合計=資產總計,19443325,19443325,通過
N05漢翔_113學年度財務報告.pdf,112學年度,前一年度,流動資產合計+非流動資產合計=資產總計,14672741,14672741,通過
N05漢翔_113學年度財務報告.pdf,113學年度,本年度,流動負債合計+非流動負債合計=負債總額,15878947,15878947,通過
N05漢翔_113學年度財務報告.pdf,113學年度,本年度,累積餘絀+本期餘絀=餘絀總額,3564378,3564378,通過
N05漢翔_113學年度財務報告.pdf,113學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,19443325,19443325,通過
N05漢翔_113學年度財務報告.pdf,112學年度,前一年度,流動負債合計+非流動負債合計=負債總額,12715208,12715208,通過
N05漢翔_113學年度財務報告.pdf,112學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1957533,1957533,通過
N05漢翔_113學年度財務報告.pdf,112學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,14672741,14672741,通過
