檔案名稱,檢查項目,左方,右方,結果,說明
N05漢翔_113學年度財務報告.pdf,所有抽取金額可解析,20,20,通過,
N05漢翔_113學年度財務報告.pdf,收支餘絀表已抽取總餘絀／結餘欄位,2,1,通過,本期稅前餘絀、本期稅後餘絀
