檔案名稱,項目,113學年度金額,112學年度金額
N05漢翔_113學年度財務報告.pdf,營業活動之現金流量：,,
N05漢翔_113學年度財務報告.pdf,本期稅前餘絀,"$ 1,606,845","$ 268,076"
N05漢翔_113學年度財務報告.pdf,調整項目：,,
N05漢翔_113學年度財務報告.pdf,資產/負債淨變動數,,
N05漢翔_113學年度財務報告.pdf,應收帳款淨額,742,(742)
N05漢翔_113學年度財務報告.pdf,其他應收款,"(76,556)","389,485"
N05漢翔_113學年度財務報告.pdf,預付款項,"2,167","27,140"
N05漢翔_113學年度財務報告.pdf,其他流動資產,"(5,503)",635
N05漢翔_113學年度財務報告.pdf,應付帳款,"(95,945)","89,602"
N05漢翔_113學年度財務報告.pdf,其他應付款,"(64,077)","(362,751)"
N05漢翔_113學年度財務報告.pdf,預收款項,"273,458","106,415"
N05漢翔_113學年度財務報告.pdf,營業活動之淨現金流入,"1,641,131","517,860"
N05漢翔_113學年度財務報告.pdf,投資活動之現金流量：,,
N05漢翔_113學年度財務報告.pdf,投資活動之淨現金流入,-,-
N05漢翔_113學年度財務報告.pdf,籌資活動之現金流量：,,
N05漢翔_113學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N05漢翔_113學年度財務報告.pdf,本期現金及約當現金增加數,"1,641,131","517,860"
N05漢翔_113學年度財務報告.pdf,期初現金及約當現金餘額,"5,236,308","4,718,448"
N05漢翔_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 6,877,439","$ 5,236,308"
