檔案名稱,來源相對路徑,幼兒園代碼,幼兒園名稱（檔名）,報告學年度,幼兒園名稱,總收入,總支出,人事費執行率,本期稅後餘絀,關係人交易金額,人事費,業務費,修繕及採購費,業務發展費,其他支出,預算總額,決算總額,處理狀態,錯誤訊息
N01安溪_113學年度財務報告.pdf,非營利園財報\113學年度\N01安溪_113學年度財務報告.pdf,N01,安溪,113學年度,,,,,,,,,,,,,,成功,
N02山北_113學年度財務報告.pdf,非營利園財報\113學年度\N02山北_113學年度財務報告.pdf,N02,山北,113學年度,,,,,,,,,,,,,,成功,
