檔案名稱,項目,110學年度金額,109學年度金額
N06昌平_110學年度財務報告.pdf,營業活動之現金流量：,,
N06昌平_110學年度財務報告.pdf,本期稅前餘絀,"$ 1,642,510","$(637,977)"
N06昌平_110學年度財務報告.pdf,調整項目：,,
N06昌平_110學年度財務報告.pdf,資產／負債淨變動數,,
N06昌平_110學年度財務報告.pdf,應收帳款淨額,"(10,362)","334,492"
N06昌平_110學年度財務報告.pdf,其他應收款,"(208,848)","(23,152)"
N06昌平_110學年度財務報告.pdf,預付款項,"(20,410)",473
N06昌平_110學年度財務報告.pdf,其他流動資產,(412),"11,492"
N06昌平_110學年度財務報告.pdf,應付票據,-,"(960,703)"
N06昌平_110學年度財務報告.pdf,應付帳款,"(70,507)","(590,087)"
N06昌平_110學年度財務報告.pdf,其他應付款,"21,950","95,053"
N06昌平_110學年度財務報告.pdf,預收款項,"321,423","973,854"
N06昌平_110學年度財務報告.pdf,其他流動負債,162,(148)
N06昌平_110學年度財務報告.pdf,營運產生之現金,"1,675,506","(796,703)"
N06昌平_110學年度財務報告.pdf,本期支付所得稅,"(30,655)",-
N06昌平_110學年度財務報告.pdf,營業活動之淨現金流入（出）,"1,644,851","(796,703)"
N06昌平_110學年度財務報告.pdf,投資活動之現金流量：,,
N06昌平_110學年度財務報告.pdf,存出保證金（增加）,-,"(11,500)"
N06昌平_110學年度財務報告.pdf,投資活動之淨現金流（出）,-,"(11,500)"
N06昌平_110學年度財務報告.pdf,籌資活動之現金流量：,,
N06昌平_110學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N06昌平_110學年度財務報告.pdf,本期現金及約當現金增加（減少）數,"1,644,851","(808,203)"
N06昌平_110學年度財務報告.pdf,期初現金及約當現金餘額,"3,674,287","4,482,490"
N06昌平_110學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,319,138","$ 3,674,287"
